source,target,year,month,day,mode,companion
261,251,1660,4,13,boat,
251,778,1660,4,30,boat,William Howe|Mr. Sheply
778,251,1660,4,30,boat,William Howe|Mr. Sheply
251,239,1660,4,30,boat,William Howe|Mr. Sheply
239,251,1660,4,30,boat,William Howe|Mr. Sheply
251,136,1660,5,3,boat,
136,251,1660,5,3,boat,
251,495,1660,5,14,boat,
495,570,1660,5,14,coach,Mr. Creed
570,495,1660,5,14,walk,
495,251,1660,5,14,boat,
251,495,1660,5,15,boat,
495,570,1660,5,15,walk,
570,572,1660,5,15,walk,
572,570,1660,5,15,walk,
570,495,1660,5,15,coach,
495,251,1660,5,15,boat,
251,495,1660,5,17,boat,Mr. Edward Pickering|William Howe
495,570,1660,5,17,coach,Mr. Edward Pickering|William Howe
570,717,1660,5,17,coach,Mr. Edward Pickering|William Howe
717,570,1660,5,17,coach,Mr. Edward Pickering|William Howe
570,598,1660,5,17,walk,
598,495,1660,5,17,wagon,
495,570,1660,5,17,wagon,
251,495,1660,5,18,boat,Mr. Edward Pickering
495,570,1660,5,18,wagon,Mr. Edward Pickering
570,137,1660,5,18,boat,Mr. Edward Pickering
137,717,1660,5,18,coach,Commissioner Pett
717,570,1660,5,18,coach,Commissioner Pett
570,495,1660,5,18,wagon,
251,495,1660,5,19,boat,
495,570,1660,5,19,wagon,Mr. Pinkney
570,730,1660,5,19,walk,
730,570,1660,5,19,walk,
570,495,1660,5,20,wagon,William Howe|Mr. Ibbott
495,732,1660,5,20,walk,
732,251,1660,5,20,boat,Commissioner Pett
251,495,1660,5,22,boat,
495,570,1660,5,22,boat,
570,495,1660,5,22,boat,
495,251,1660,5,22,boat,
251,495,1660,5,23,boat,Edward Montagu
495,251,1660,5,23,boat,
251,150,1660,5,25,boat,Edward Montagu
150,251,1660,5,25,boat,
251,136,1660,5,29,horse,Edward Montagu|Mr. Hetly
136,251,1660,5,29,horse,Edward Montagu|Mr. Hetly
251,136,1660,6,8,boat,
136,72,1660,6,8,horse,Edward Montagu
72,718,1660,6,8,horse,Edward Montagu
718,478,1660,6,8,horse,Edward Montagu
478,203,1660,6,8,horse,Edward Montagu
203,566,1660,6,9,boat,Mr. Moore|William Howe
566,374,1660,6,9,walk,Mr. Moore
374,174,1660,6,9,walk,
174,642,1660,6,9,walk,Edward Montagu
174,320,1660,6,10,walk,Elizabeth Pepys
174,650,1660,6,11,walk,Edward Montagu
650,642,1660,6,11,walk,Edward Montagu
642,374,1660,6,11,coach,Edward Montagu
374,610,1660,6,11,walk,
610,314,1660,6,11,walk,Mr. Moore
314,374,1660,6,11,walk,
374,704,1660,6,11,walk,Edward Montagu
704,374,1660,6,11,walk,
374,174,1660,6,11,walk,
174,650,1660,6,12,walk,Edward Montagu
650,642,1660,6,12,walk,Edward Montagu
642,374,1660,6,12,walk,
374,174,1660,6,12,walk,
174,650,1660,6,13,walk,Edward Montagu
650,396,1660,6,13,walk,Mr. Creed
396,374,1660,6,13,walk,
374,642,1660,6,13,boat,Edward Montagu
642,476,1660,6,13,walk,
476,650,1660,6,13,walk,
650,174,1660,6,13,walk,
174,650,1660,6,14,walk,Edward Montagu
650,374,1660,6,14,walk,
374,306,1660,6,14,walk,
306,659,1660,6,14,walk,
659,63,1660,6,14,walk,William Symons
63,174,1660,6,14,walk,
174,422,1660,6,15,walk,
422,149,1660,6,15,walk,Mr. Turner
149,650,1660,6,15,boat,
650,174,1660,6,15,walk,
174,591,1660,6,15,walk,
591,174,1660,6,15,walk,
174,650,1660,6,16,walk,Edward Montagu
650,642,1660,6,16,walk,Edward Montagu
642,374,1660,6,16,walk,
374,642,1660,6,16,walk,Edward Montagu
642,691,1660,6,16,walk,Edward Montagu
691,174,1660,6,16,walk,
174,689,1660,6,17,walk,
689,174,1660,6,17,walk,
174,689,1660,6,17,walk,
689,650,1660,6,17,walk,Edward Montagu
650,207,1660,6,17,walk,Edward Montagu
207,174,1660,6,17,walk,
174,650,1660,6,18,walk,Edward Montagu
650,451,1660,6,18,walk,Edward Montagu
451,650,1660,6,18,walk,
650,588,1660,6,18,boat,Edward Montagu
