source,target,year,month,day,mode,companion
788,461,1662,5,1,coach,Sir G. Carteret;Sir W. Penn
461,221,1662,5,1,coach,Sir G. Carteret;Sir W. Penn
221,788,1662,5,2,coach,
788,389,1662,5,2,coach,Elizabeth Pepys
389,650,1662,5,2,coach,
650,788,1662,5,2,coach,Elizabeth Pepys
788,540,1662,5,3,coach,Sir W. Penn
540,610,1662,5,3,walk,
610,576,1662,5,3,walk,Henry Moore
576,583,1662,5,3,coach,Lady Sandwich;Sir Thomas Crew's children
583,788,1662,5,3,coach,Lady Sandwich;Sir Thomas Crew's children
788,59,1662,5,4,walk,Elizabeth Pepys
59,544,1662,5,4,walk,Elizabeth Pepys
544,419,1662,5,4,walk,Elizabeth Pepys
419,205,1662,5,4,walk,Elizabeth Pepys
205,788,1662,5,4,walk,Elizabeth Pepys
788,789,1662,5,6,walk,
789,788,1662,5,6,walk,
788,610,1662,5,7,walk,
610,337,1662,5,7,walk,
337,546,1662,5,7,walk,
546,577,1662,5,7,walk,Mrs. Turner
577,275,1662,5,7,coach,Mrs. Turner
275,419,1662,5,7,coach,Mrs. Turner
419,788,1662,5,7,walk,
788,576,1662,5,8,walk,
576,546,1662,5,8,walk,
546,789,1662,5,8,coach,Sir G. Carteret
789,788,1662,5,8,walk,
788,422,1662,5,9,walk,
422,610,1662,5,9,walk,
610,377,1662,5,9,walk,
377,123,1662,5,9,walk,Mr. Salisbury
123,566,1662,5,9,walk,
566,788,1662,5,9,boat,
788,576,1662,5,10,walk,
576,788,1662,5,10,walk,
788,544,1662,5,11,walk,
544,642,1662,5,11,walk,
642,541,1662,5,11,walk,
541,576,1662,5,11,walk,
576,788,1662,5,11,walk,
788,576,1662,5,11,walk,Elizabeth Pepys
576,788,1662,5,11,walk,Elizabeth Pepys
788,576,1662,5,12,boat,Elizabeth Pepys;Mr. Townsend
576,228,1662,5,12,boat,Elizabeth Pepys;Mr. Townsend
228,576,1662,5,12,boat,Elizabeth Pepys;Mr. Townsend
576,788,1662,5,12,coach,Elizabeth Pepys
788,610,1662,5,14,walk,
610,576,1662,5,14,walk,
576,59,1662,5,14,walk,
59,546,1662,5,14,walk,
546,788,1662,5,14,walk,
788,610,1662,5,15,walk,
610,788,1662,5,15,walk,
788,566,1662,5,17,walk,
566,642,1662,5,17,walk,Henry Moore
642,610,1662,5,17,walk,Henry Moore
610,576,1662,5,17,walk,Henry Moore;Lady Sandwich
576,684,1662,5,17,walk,Lady Sandwich
684,576,1662,5,17,walk,Lady Sandwich
576,59,1662,5,17,walk,
59,788,1662,5,17,walk,
788,642,1662,5,18,boat,
642,503,1662,5,18,walk,Sir G. Carteret
503,642,1662,5,18,walk,Sir G. Carteret
642,788,1662,5,18,coach,
788,566,1662,5,19,walk,
566,59,1662,5,19,walk,
59,788,1662,5,19,walk,
788,577,1662,5,19,coach,Sir W. Penn;Elizabeth Pepys
577,359,1662,5,19,coach,Sir W. Penn;Elizabeth Pepys
359,788,1662,5,19,walk,Elizabeth Pepys
788,158,1662,5,20,walk,
158,586,1662,5,20,walk,
586,225,1662,5,20,boat,Elizabeth Pepys
225,788,1662,5,20,boat,Elizabeth Pepys
788,642,1662,5,21,boat,Elizabeth Pepys
642,610,1662,5,21,walk,Elizabeth Pepys
610,656,1662,5,21,walk,Elizabeth Pepys;Mrs. Sarah
656,577,1662,5,21,walk,Elizabeth Pepys
577,59,1662,5,21,coach,Elizabeth Pepys
59,788,1662,5,21,walk,Elizabeth Pepys
788,576,1662,5,22,walk,Elizabeth Pepys
576,789,1662,5,22,walk,Elizabeth Pepys;John Creed
789,576,1662,5,22,walk,John Creed
576,59,1662,5,22,walk,Elizabeth Pepys
59,788,1662,5,22,walk,Elizabeth Pepys
788,576,1662,5,23,walk,Elizabeth Pepys
576,788,1662,5,23,walk,
788,576,1662,5,24,walk,
576,788,1662,5,24,walk,Mr. Shepley
788,576,1662,5,25,walk,
576,788,1662,5,25,walk,
788,576,1662,5,26,walk,
576,473,1662,5,26,coach,Elizabeth Pepys
473,359,1662,5,26,coach,Elizabeth Pepys
359,788,1662,5,26,coach,Elizabeth Pepys
788,650,1662,5,27,walk,
650,576,1662,5,27,walk,John Creed;Captain Ferrers
576,726,1662,5,28,walk,father Pepys;uncle Wight
726,576,1662,5,28,walk,
576,788,1662,5,28,walk,
788,576,1662,5,29,walk,Elizabeth Pepys
576,185,1662,5,29,boat,Elizabeth Pepys
185,788,1662,5,29,boat,Elizabeth Pepys
788,642,1662,5,31,walk,
642,59,1662,5,31,walk,father Pepys
59,788,1662,5,31,walk,father Pepys
788,576,1662,5,31,walk,
576,788,1662,5,31,walk,
788,544,1662,6,1,walk,
544,788,1662,6,1,walk,Mr. Spong;Mr. Shepley;Henry Moore
788,576,1662,6,2,boat,Henry Moore
576,59,1662,6,2,walk,father Pepys
59,788,1662,6,2,coach,father Pepys;Elizabeth Pepys
788,419,1662,6,2,coach,Elizabeth Pepys
419,576,1662,6,2,boat,Elizabeth Pepys
576,788,1662,6,2,coach,
788,422,1662,6,3,walk,
422,586,1662,6,3,walk,John Creed;Mr. Shepley
586,788,1662,6,3,walk,John Creed;Mr. Shepley
788,785,1662,6,3,walk,father Pepys;Dr. Williams
785,576,1662,6,3,walk,
576,788,1662,6,3,walk,
788,667,1662,6,4,boat,Sir W. Batten
667,380,1662,6,4,walk,Sir W. Batten
380,667,1662,6,4,walk,Sir W. Batten
667,650,1662,6,4,walk,
650,642,1662,6,4,walk,Sir G. Carteret
642,576,1662,6,4,walk,
576,788,1662,6,4,walk,
788,576,1662,6,5,walk,
576,422,1662,6,5,walk,
422,3,1662,6,5,walk,Henry Moore
3,576,1662,6,5,walk,Henry Moore
576,788,1662,6,5,walk,
788,576,1662,6,6,walk,father Pepys
576,59,1662,6,6,walk,father Pepys
59,788,1662,6,6,walk,father Pepys
788,588,1662,6,7,boat,Sir W. Coventry;Sir W. Batten
588,503,1662,6,7,walk,Sir G. Carteret
503,788,1662,6,7,walk,
788,544,1662,6,8,walk,
544,576,1662,6,8,walk,Elizabeth Pepys
576,788,1662,6,8,walk,Elizabeth Pepys
788,789,1662,6,9,walk,
789,788,1662,6,9,walk,
788,422,1662,6,10,walk,
422,576,1662,6,10,walk,
576,788,1662,6,10,walk,
788,422,1662,6,11,walk,
422,788,1662,6,11,walk,
788,422,1662,6,12,walk,
422,788,1662,6,12,walk,
788,503,1662,6,13,walk,Sir G. Carteret
503,59,1662,6,13,walk,
59,650,1662,6,13,walk,
650,225,1662,6,13,walk,Elizabeth Pepys;Mrs. Sarah
225,788,1662,6,13,walk,Elizabeth Pepys;Mrs. Sarah
788,145,1662,6,14,walk,
145,588,1662,6,14,boat,
588,422,1662,6,14,walk,
422,788,1662,6,14,walk,
788,544,1662,6,15,walk,
544,788,1662,6,15,walk,
788,422,1662,6,16,walk,Will Hewer
422,532,1662,6,16,walk,Will Hewer
532,145,1662,6,16,boat,Will Hewer
145,475,1662,6,16,walk,
475,586,1662,6,16,boat,
586,576,1662,6,16,boat,Elizabeth Pepys
576,212,1662,6,16,boat,Elizabeth Pepys;children
212,576,1662,6,16,boat,Elizabeth Pepys;children
576,788,1662,6,16,walk,Will Hewer;Elizabeth Pepys
788,422,1662,6,17,walk,
422,514,1662,6,17,walk,Sir J. Minnes;Sir W. Penn
514,788,1662,6,17,walk,
788,422,1662,6,18,walk,
422,319,1662,6,18,walk,John Creed
319,337,1662,6,18,walk,
337,523,1662,6,18,walk,Mr. Pett
523,316,1662,6,18,walk,Mr. Pett
316,566,1662,6,18,walk,Mr. Pett
566,789,1662,6,18,coach,Mr. Pett
789,788,1662,6,18,walk,
788,422,1662,6,19,walk,
422,3,1662,6,19,walk,Henry Moore
3,789,1662,6,19,walk,
789,459,1662,6,19,walk,
459,3,1662,6,19,walk,Henry Moore
3,788,1662,6,19,walk,
788,422,1662,6,20,walk,Henry Moore
422,3,1662,6,20,walk,Henry Moore
3,789,1662,6,20,walk,
789,788,1662,6,20,walk,Elizabeth Pepys;Jane
788,422,1662,6,21,walk,
