source,target,year,month,day,mode,companion
650,642,1663,1,1,walk,
642,650,1663,1,1,walk,
650,158,1663,1,1,coach,Elizabeth Pepys
158,788,1663,1,1,coach,Elizabeth Pepys
788,422,1663,1,2,walk,
422,514,1663,1,2,walk,
514,422,1663,1,2,walk,
422,516,1663,1,2,walk,
516,788,1663,1,2,walk,
788,422,1663,1,2,walk,
422,788,1663,1,2,walk,
788,422,1663,1,3,walk,
422,788,1663,1,3,walk,
788,544,1663,1,4,walk,
544,788,1663,1,4,walk,
788,576,1663,1,4,walk,Elizabeth Pepys
576,642,1663,1,4,walk,Elizabeth Pepys
642,388,1663,1,4,walk,Elizabeth Pepys
388,650,1663,1,4,walk,Elizabeth Pepys
650,642,1663,1,5,walk,
642,650,1663,1,5,walk,
650,104,1663,1,5,coach,John Creed
104,650,1663,1,5,walk,
650,158,1663,1,6,coach,Elizabeth Pepys;John Creed
158,59,1663,1,6,coach,Elizabeth Pepys;John Creed
59,546,1663,1,6,walk,John Creed
546,422,1663,1,6,walk,John Creed
422,789,1663,1,6,walk,John Creed
789,59,1663,1,6,walk,
59,158,1663,1,6,walk,John Creed;Elizabeth Pepys
158,788,1663,1,6,coach,Elizabeth Pepys
788,422,1663,1,6,walk,
422,788,1663,1,6,walk,
788,422,1663,1,7,walk,
422,788,1663,1,7,walk,
788,145,1663,1,7,boat,Mr. Waith
145,788,1663,1,7,boat,
788,422,1663,1,8,walk,
422,788,1663,1,8,walk,
788,158,1663,1,8,coach,Elizabeth Pepys
158,788,1663,1,8,coach,Elizabeth Pepys
788,358,1663,1,9,walk,Major Tolhurst
358,788,1663,1,9,walk,
788,422,1663,1,10,walk,
422,788,1663,1,10,walk,
788,544,1663,1,11,walk,
544,788,1663,1,11,walk,
788,422,1663,1,11,walk,
422,516,1663,1,11,walk,
516,514,1663,1,11,walk,
514,422,1663,1,11,walk,
422,788,1663,1,11,walk,
788,514,1663,1,12,walk,
514,516,1663,1,12,walk,
516,642,1663,1,12,coach,Sir G. Carteret
642,650,1663,1,12,walk,
650,642,1663,1,12,walk,Edward Montagu
642,86,1663,1,12,walk,John Creed
86,789,1663,1,12,walk,John Creed
789,650,1663,1,12,walk,John Creed
650,642,1663,1,12,walk,
642,365,1663,1,12,coach,
365,514,1663,1,12,walk,
514,788,1663,1,12,walk,
503,642,1663,1,12,coach,
516,503,1663,1,12,walk,
788,422,1663,1,13,walk,
422,788,1663,1,13,walk,
788,422,1663,1,14,walk,
422,788,1663,1,14,walk,
788,422,1663,1,15,walk,
422,788,1663,1,15,walk,
788,145,1663,1,15,horse,Sir W. Coventry
145,788,1663,1,15,horse,
788,422,1663,1,16,walk,
422,788,1663,1,16,walk,
788,422,1663,1,17,walk,
422,788,1663,1,17,walk,
788,158,1663,1,17,coach,John Creed
158,788,1663,1,17,coach,John Creed
788,544,1663,1,18,walk,
544,788,1663,1,18,walk,
788,422,1663,1,18,walk,
422,516,1663,1,18,walk,
516,788,1663,1,18,walk,
788,422,1663,1,19,walk,
422,788,1663,1,19,walk,
788,642,1663,1,19,walk,
642,650,1663,1,19,walk,
650,642,1663,1,19,walk,Sir W. Coventry
642,395,1663,1,19,coach,Mr. Povy
395,336,1663,1,19,walk,Mr. Gawden
336,59,1663,1,19,walk,
59,576,1663,1,19,walk,Henry Moore
576,788,1663,1,19,walk,
788,422,1663,1,20,walk,
422,788,1663,1,20,walk,
788,422,1663,1,21,walk,
422,145,1663,1,21,walk,Commissioner Pett
145,212,1663,1,21,walk,Commissioner Pett
212,667,1663,1,21,walk,Commissioner Pett
667,362,1663,1,21,walk,Commissioner Pett
362,667,1663,1,21,walk,
667,788,1663,1,21,boat,
788,422,1663,1,21,walk,
422,788,1663,1,21,walk,
788,422,1663,1,22,walk,
422,788,1663,1,22,walk,
788,395,1663,1,22,coach,
395,650,1663,1,22,coach,
650,373,1663,1,22,walk,
373,59,1663,1,23,walk,
59,576,1663,1,23,walk,Henry Moore
576,789,1663,1,23,walk,Sir W. Batten
789,788,1663,1,23,coach,Sir W. Batten
788,422,1663,1,23,walk,
422,788,1663,1,23,walk,
788,514,1663,1,23,walk,
514,516,1663,1,23,walk,
516,788,1663,1,23,walk,
788,422,1663,1,24,walk,
422,788,1663,1,24,walk,
788,789,1663,1,24,walk,
789,475,1663,1,24,walk,
475,788,1663,1,24,walk,
788,395,1663,1,24,coach,Mr. Gawden
395,788,1663,1,24,coach,Mr. Gawden
788,422,1663,1,25,walk,
422,788,1663,1,25,walk,
788,576,1663,1,25,walk,Henry Moore
576,86,1663,1,25,walk,John Creed
86,541,1663,1,25,walk,John Creed
541,650,1663,1,25,walk,
650,59,1663,1,25,walk,
59,788,1663,1,25,walk,
788,555,1663,1,26,boat,Sir W. Batten
555,642,1663,1,26,boat,Sir W. Batten
642,650,1663,1,26,walk,
650,610,1663,1,26,walk,
610,337,1663,1,26,coach,Monsieur Raby
337,395,1663,1,26,walk,Mr. Gawden
395,642,1663,1,26,coach,Mr. Gawden
642,788,1663,1,26,coach,
788,422,1663,1,27,walk,
422,788,1663,1,27,walk,
788,422,1663,1,28,walk,
422,788,1663,1,28,walk,
788,593,1663,1,28,walk,Elizabeth Pepys
593,650,1663,1,28,coach,
650,117,1663,1,28,walk,
117,670,1663,1,28,walk,
670,788,1663,1,28,walk,
788,422,1663,1,29,walk,
422,505,1663,1,29,walk,Sir W. Coventry
505,516,1663,1,29,walk,
516,422,1663,1,29,walk,
422,788,1663,1,29,walk,
788,422,1663,1,30,walk,
422,788,1663,1,30,walk,
788,544,1663,1,30,walk,
544,422,1663,1,30,walk,
422,788,1663,1,30,walk,
788,422,1663,1,31,walk,
422,788,1663,1,31,walk,
788,422,1663,1,1661,walk,
422,788,1663,1,1661,walk,
788,642,1663,2,1,walk,
642,650,1663,2,1,walk,
650,788,1663,2,1,walk,
788,422,1663,2,2,walk,
