source,target,year,month,day,mode,companion
788,422,1663,9,1,walk,
422,788,1663,9,1,walk,
788,422,1663,9,2,coach,Sir J. Minnes
422,642,1663,9,2,coach,Sir J. Minnes
642,497,1663,9,2,coach,Sir J. Minnes;Lord Mayor
497,788,1663,9,2,boat,
788,422,1663,9,2,walk,
422,788,1663,9,2,walk,
788,422,1663,9,3,walk,
422,788,1663,9,3,walk,
788,212,1663,9,3,coach,Lady Batten
212,145,1663,9,3,walk,
145,475,1663,9,3,walk,
475,788,1663,9,3,walk,
788,422,1663,9,4,walk,
422,788,1663,9,4,walk,
788,642,1663,9,4,boat,
642,610,1663,9,4,walk,
610,409,1663,9,4,walk,John Creed
409,395,1663,9,4,walk,John Creed
395,319,1663,9,4,walk,John Creed
319,788,1663,9,4,walk,
788,789,1663,9,4,coach,Elizabeth Pepys
789,27,1663,9,4,coach,Elizabeth Pepys
27,788,1663,9,4,coach,Elizabeth Pepys
788,422,1663,9,5,walk,
422,789,1663,9,5,walk,
789,80,1663,9,5,walk,
80,788,1663,9,5,walk,
788,422,1663,9,5,walk,
422,788,1663,9,5,walk,
788,464,1663,9,7,walk,uncle Thomas
464,337,1663,9,7,walk,
337,174,1663,9,7,walk,
174,45,1663,9,7,walk,
45,27,1663,9,7,walk,
27,788,1663,9,7,walk,
788,422,1663,9,8,walk,
422,789,1663,9,8,walk,
789,361,1663,9,8,walk,
361,788,1663,9,8,walk,
788,422,1663,9,8,walk,
422,788,1663,9,8,walk,
788,422,1663,9,9,walk,
422,788,1663,9,9,walk,
788,605,1663,9,9,boat,Sir W. Warren
605,667,1663,9,9,walk,Sir W. Warren
667,212,1663,9,9,walk,Sir W. Warren
212,605,1663,9,9,walk,Sir W. Warren
605,788,1663,9,9,boat,Sir W. Warren
788,642,1663,9,9,boat,
642,610,1663,9,9,walk,
610,788,1663,9,9,boat,
503,610,1663,9,9,walk,
642,503,1663,9,9,walk,
788,422,1663,9,10,walk,
422,788,1663,9,10,walk,
788,422,1663,9,10,walk,
422,610,1663,9,10,walk,
610,576,1663,9,10,walk,
576,610,1663,9,10,walk,
610,788,1663,9,10,boat,
788,422,1663,9,11,walk,
422,788,1663,9,11,walk,
788,509,1663,9,11,coach,
509,337,1663,9,11,walk,
337,422,1663,9,11,walk,
422,788,1663,9,11,walk,
788,422,1663,9,12,walk,
422,788,1663,9,12,walk,
788,642,1663,9,12,boat,
642,509,1663,9,12,walk,
509,789,1663,9,12,boat,
789,610,1663,9,12,walk,
610,788,1663,9,12,boat,
788,422,1663,9,13,walk,
422,789,1663,9,13,walk,
789,788,1663,9,13,walk,
788,422,1663,9,14,walk,
422,788,1663,9,14,walk,
788,174,1663,9,14,coach,Elizabeth Pepys;uncle Thomas;Henry Moore
174,51,1663,9,14,horse,Elizabeth Pepys;uncle Thomas;Henry Moore
51,239,1663,9,15,horse,uncle Thomas;cousin Thomas;Henry Moore
239,51,1663,9,15,horse,uncle Thomas;cousin Thomas;Henry Moore
51,239,1663,9,16,horse,
239,51,1663,9,16,horse,
51,239,1663,9,17,horse,uncle Thomas;cousin Thomas
239,453,1663,9,17,horse,uncle Thomas;cousin Thomas
453,663,1663,9,18,horse,uncle Thomas;cousin Thomas
663,93,1663,9,18,horse,uncle Thomas;cousin Thomas
93,538,1663,9,19,horse,uncle Thomas
538,51,1663,9,19,horse,
51,53,1663,9,19,horse,Elizabeth Pepys
53,201,1663,9,19,horse,Elizabeth Pepys
201,271,1663,9,19,horse,
271,239,1663,9,19,horse,
239,18,1663,9,20,horse,Elizabeth Pepys
18,233,1663,9,21,horse,Elizabeth Pepys
233,788,1663,9,21,horse,
788,422,1663,9,22,walk,
422,610,1663,9,22,boat,Elizabeth Pepys
610,650,1663,9,22,walk,Elizabeth Pepys
650,788,1663,9,22,boat,Elizabeth Pepys
788,422,1663,9,22,walk,
422,788,1663,9,22,walk,
788,422,1663,9,23,walk,
422,788,1663,9,23,walk,
788,337,1663,9,23,boat,
337,610,1663,9,23,walk,
610,788,1663,9,23,boat,
788,422,1663,9,24,walk,
422,788,1663,9,24,walk,
788,509,1663,9,24,boat,
509,610,1663,9,24,walk,
610,527,1663,9,24,boat,Mrs. Lane
527,642,1663,9,24,boat,
642,788,1663,9,24,boat,
788,422,1663,9,25,walk,Sir J. Minnes;Sir W. Batten
422,145,1663,9,25,boat,Sir J. Minnes;Sir W. Batten
145,788,1663,9,25,boat,Sir J. Minnes
788,422,1663,9,25,walk,
422,788,1663,9,25,walk,
788,422,1663,9,26,walk,
422,789,1663,9,26,walk,
789,788,1663,9,26,walk,
788,422,1663,9,26,walk,
422,788,1663,9,26,walk,
788,542,1663,9,27,walk,Elizabeth Pepys
542,788,1663,9,27,walk,Elizabeth Pepys
788,422,1663,9,28,walk,
422,788,1663,9,28,walk,
788,642,1663,9,28,coach,Sir J. Minnes
642,387,1663,9,28,walk,
387,642,1663,9,28,walk,
642,565,1663,9,28,walk,
565,788,1663,9,28,boat,
516,788,1663,9,28,walk,
788,516,1663,9,28,walk,
788,422,1663,9,30,walk,
422,788,1663,9,30,walk,
788,642,1663,9,30,boat,
642,566,1663,9,30,walk,
566,788,1663,9,30,boat,Sir W. Rider
788,422,1663,10,1,walk,
422,145,1663,10,1,boat,
145,788,1663,10,1,boat,
788,422,1663,10,2,walk,
422,788,1663,10,2,walk,
788,540,1663,10,2,boat,
540,789,1663,10,2,walk,Mr. Cutler
789,788,1663,10,2,walk,
788,422,1663,10,3,walk,
422,788,1663,10,3,walk,
788,544,1663,10,4,walk,Elizabeth Pepys
544,788,1663,10,4,walk,Elizabeth Pepys
788,422,1663,10,5,walk,Sir J. Minnes
422,424,1663,10,5,walk,John Creed
424,788,1663,10,5,walk,
788,422,1663,10,5,walk,
422,788,1663,10,5,walk,
422,516,1663,10,5,walk,
516,788,1663,10,5,walk,
788,516,1663,10,5,walk,
788,422,1663,10,6,walk,
422,788,1663,10,6,walk,
788,540,1663,10,6,coach,Sir G. Carteret;Sir J. Minnes;Sir W. Batten
540,566,1663,10,6,walk,
566,503,1663,10,6,walk,Sir G. Carteret
503,788,1663,10,6,boat,
516,788,1663,10,6,walk,
788,516,1663,10,6,walk,
788,422,1663,10,7,coach,
422,387,1663,10,7,coach,
387,788,1663,10,7,coach,
788,422,1663,10,8,walk,
422,788,1663,10,8,walk,
788,422,1663,10,10,walk,
422,788,1663,10,10,walk,
788,540,1663,10,12,coach,
540,789,1663,10,12,walk,
789,424,1663,10,12,coach,Elizabeth Pepys
424,566,1663,10,12,walk,
566,650,1663,10,12,walk,Elizabeth Pepys
650,424,1663,10,12,walk,Elizabeth Pepys
424,788,1663,10,12,coach,Elizabeth Pepys
422,789,1663,10,13,walk,
789,788,1663,10,13,walk,
788,422,1663,10,13,walk,John Creed
422,788,1663,10,13,walk,John Creed
788,422,1663,10,14,walk,
422,788,1663,10,14,walk,
788,289,1663,10,14,coach,Elizabeth Pepys;Mr. Rawlinson
289,642,1663,10,14,walk,
642,566,1663,10,14,walk,
566,424,1663,10,14,walk,Elizabeth Pepys
424,788,1663,10,14,coach,Elizabeth Pepys
289,610,1663,10,14,coach,
610,642,1663,10,14,walk,
642,610,1663,10,14,walk,
788,106,1663,10,14,coach,
788,422,1663,10,15,walk,
422,788,1663,10,15,walk,
788,422,1663,10,16,walk,
422,788,1663,10,16,walk,
788,540,1663,10,16,coach,Elizabeth Pepys
540,650,1663,10,16,walk,Elizabeth Pepys
650,566,1663,10,16,walk,
566,650,1663,10,16,walk,Elizabeth Pepys
650,419,1663,10,16,walk,Elizabeth Pepys
419,789,1663,10,16,walk,Elizabeth Pepys
789,788,1663,10,16,coach,Elizabeth Pepys
788,422,1663,10,17,walk,
422,149,1663,10,17,walk,Mr. Gauden
149,788,1663,10,17,walk,
788,422,1663,10,17,walk,
422,788,1663,10,17,walk,
788,544,1663,10,18,walk,Elizabeth Pepys;Jane
544,788,1663,10,18,walk,Elizabeth Pepys;Jane
788,422,1663,10,19,walk,
422,788,1663,10,19,walk,
788,540,1663,10,19,coach,Sir W. Batten;Sir J. Minnes
540,107,1663,10,19,walk,Sir W. Batten
107,540,1663,10,19,walk,
540,332,1663,10,19,walk,Sir G. Carteret;Sir W. Batten
332,642,1663,10,19,walk,
642,473,1663,10,19,walk,W. Howe;John Creed
473,788,1663,10,19,walk,
106,540,1663,10,19,coach,
372,642,1663,10,19,walk,
540,106,1663,10,19,coach,
540,372,1663,10,19,walk,
642,409,1663,10,19,walk,
788,422,1663,10,20,walk,
422,788,1663,10,20,walk,
788,537,1663,10,20,walk,Sir G. Carteret;Sir J. Minnes
537,789,1663,10,20,coach,Sir G. Carteret;Sir J. Minnes
789,642,1663,10,20,walk,Elizabeth Pepys
642,566,1663,10,20,walk,
566,642,1663,10,20,walk,Elizabeth Pepys
642,546,1663,10,20,walk,Elizabeth Pepys
546,424,1663,10,20,walk,Elizabeth Pepys
424,788,1663,10,20,coach,Elizabeth Pepys
788,174,1663,10,21,walk,
174,789,1663,10,21,walk,
789,788,1663,10,21,walk,
59,789,1663,10,21,walk,
576,788,1663,10,21,walk,
788,576,1663,10,21,walk,
789,588,1663,10,21,walk,
789,576,1663,10,21,walk,
788,422,1663,10,22,walk,
422,788,1663,10,22,walk,
788,521,1663,10,23,walk,uncle Thomas
521,154,1663,10,23,walk,
154,521,1663,10,23,walk,
521,293,1663,10,23,walk,
293,387,1663,10,23,walk,
387,788,1663,10,23,walk,
396,788,1663,10,23,walk,
788,422,1663,10,24,walk,
422,149,1663,10,24,walk,Mr. Gauden
149,642,1663,10,24,coach,Sir W. Coventry
642,566,1663,10,24,walk,
566,788,1663,10,24,walk,
788,422,1663,10,24,walk,
422,788,1663,10,24,walk,
788,422,1663,10,26,walk,
422,788,1663,10,26,walk,
788,610,1663,10,26,boat,John Creed
610,296,1663,10,26,walk,John Creed
296,788,1663,10,26,coach,
788,422,1663,10,27,walk,
422,521,1663,10,27,coach,Dr. Williams;uncle Thomas;Henry Moore;T. Trice
521,459,1663,10,27,walk,T. Trice
459,788,1663,10,27,coach,
788,422,1663,10,27,walk,
422,788,1663,10,27,walk,
788,422,1663,10,28,walk,
422,788,1663,10,28,walk,
788,789,1663,10,28,walk,
789,107,1663,10,28,walk,John Creed
107,788,1663,10,28,walk,
788,422,1663,10,29,walk,
