source,target,year,month,day,mode,companion
788,106,1664,1,1,walk,
106,592,1664,1,1,walk,
592,158,1664,1,1,walk,
158,592,1664,1,1,walk,
592,788,1664,1,1,walk,
788,422,1664,1,2,walk,
422,789,1664,1,2,walk,
789,788,1664,1,2,coach,
788,577,1664,1,2,coach,W. Nicholson
577,788,1664,1,2,coach,
788,422,1664,1,4,walk,
422,650,1664,1,4,walk,
650,642,1664,1,4,walk,
642,650,1664,1,4,walk,
650,541,1664,1,4,walk,
541,642,1664,1,4,walk,
642,788,1664,1,4,coach,
788,422,1664,1,5,walk,
422,789,1664,1,5,walk,
789,788,1664,1,5,walk,
788,422,1664,1,6,walk,
422,789,1664,1,6,walk,
789,788,1664,1,6,walk,
788,422,1664,1,7,walk,
422,516,1664,1,7,walk,
516,422,1664,1,7,walk,
422,788,1664,1,7,walk,
788,422,1664,1,8,walk,
422,789,1664,1,8,walk,
789,788,1664,1,8,walk,
788,422,1664,1,9,walk,
422,789,1664,1,9,walk,
789,610,1664,1,9,coach,
610,426,1664,1,9,walk,
426,610,1664,1,9,walk,
610,788,1664,1,9,coach,
788,642,1664,1,11,coach,Captain Grove
642,540,1664,1,11,walk,
540,642,1664,1,11,walk,
642,106,1664,1,11,coach,Sir J. Robinson
106,788,1664,1,11,walk,
788,422,1664,1,12,walk,
422,789,1664,1,12,walk,
789,788,1664,1,12,walk,
788,422,1664,1,13,walk,
422,2,1664,1,13,walk,
2,106,1664,1,13,walk,
106,789,1664,1,13,walk,
789,588,1664,1,13,walk,Sir W. Rider
588,788,1664,1,13,walk,
788,422,1664,1,14,walk,
422,503,1664,1,14,walk,
503,11,1664,1,14,coach,Sir G. Carteret; Sir J. Minnes
11,516,1664,1,14,coach,
516,422,1664,1,14,walk,
422,788,1664,1,14,walk,
788,422,1664,1,15,walk,
422,789,1664,1,15,walk,
789,788,1664,1,15,walk,
788,422,1664,1,16,walk,
422,789,1664,1,16,walk,
789,610,1664,1,16,water,
610,788,1664,1,16,coach,
788,642,1664,1,18,walk,
642,650,1664,1,18,walk,
650,106,1664,1,18,walk,
106,789,1664,1,18,walk,
789,592,1664,1,18,walk,
592,788,1664,1,18,walk,rain
788,422,1664,1,19,walk,
422,789,1664,1,19,walk,
789,376,1664,1,19,walk,Sir W. Rider
376,442,1664,1,19,walk,
442,788,1664,1,19,walk,
788,650,1664,1,20,coach,
650,429,1664,1,20,walk,
429,650,1664,1,20,walk,
650,59,1664,1,20,water,
59,789,1664,1,20,walk,Sir R. Ford
789,788,1664,1,20,walk,
788,642,1664,1,20,water,
642,788,1664,1,20,walk,
788,59,1664,1,20,walk,
59,788,1664,1,20,walk,
788,422,1664,1,21,walk,
422,789,1664,1,21,walk,
789,442,1664,1,21,walk,
442,106,1664,1,21,walk,
106,592,1664,1,21,walk,
592,788,1664,1,21,walk,
788,667,1664,1,22,boat,
667,212,1664,1,22,boat,
212,145,1664,1,22,walk,
145,788,1664,1,22,water,
788,422,1664,1,23,walk,
422,789,1664,1,25,coach,
789,788,1664,1,25,coach,Sir W. Batten
788,422,1664,1,25,walk,
422,789,1664,1,26,walk,
789,788,1664,1,26,walk,
788,422,1664,1,27,walk,
422,106,1664,1,27,walk,
106,789,1664,1,27,walk,
789,123,1664,1,27,coach,Commissioner Pett
123,419,1664,1,27,coach,
419,59,1664,1,27,walk,
59,788,1664,1,27,walk,
788,422,1664,1,28,walk,
422,503,1664,1,28,walk,
503,145,1664,1,28,water,Mr. Wayth
145,788,1664,1,28,walk,
788,422,1664,1,29,walk,
422,604,1664,1,29,water,Mr. Hartlibb; wife
604,180,1664,1,29,walk,
180,106,1664,1,29,walk,
106,592,1664,1,29,walk,
592,788,1664,1,29,walk,
788,422,1664,1,30,walk,
788,642,1664,2,1,coach,Strutt
642,650,1664,2,1,walk,
650,642,1664,2,1,walk,
642,610,1664,2,1,walk,
610,789,1664,2,1,coach,Alderman Maynell
789,577,1664,2,1,coach,
577,106,1664,2,1,walk,
106,788,1664,2,1,walk,
788,422,1664,2,2,walk,
422,789,1664,2,2,coach,Mr. Coventry
789,106,1664,2,2,walk,Captain Cocke
106,789,1664,2,2,walk,
789,561,1664,2,2,walk,Sir W. Warren
561,788,1664,2,2,walk,
788,566,1664,2,3,coach,
566,789,1664,2,3,walk,
789,358,1664,2,3,walk,W. Howe
358,788,1664,2,3,coach,
788,59,1664,2,3,coach,
59,788,1664,2,3,walk,
788,106,1664,2,4,walk,
106,548,1664,2,4,coach,
548,788,1664,2,4,walk,
788,422,1664,2,5,water,
422,212,1664,2,5,water,
212,667,1664,2,5,walk,
667,212,1664,2,5,walk,
212,145,1664,2,5,walk,
145,788,1664,2,5,water,
788,642,1664,2,8,coach,
642,650,1664,2,8,walk,
650,610,1664,2,8,walk,
610,789,1664,2,8,coach,
789,222,1664,2,8,walk,
222,788,1664,2,8,walk,
788,422,1664,2,9,walk,
422,789,1664,2,9,coach,Mr. Coventry
789,788,1664,2,9,walk,
788,2,1664,2,13,walk,Mr. Coventry
2,426,1664,2,13,walk,Creed
426,788,1664,2,13,coach,Creed
788,3,1664,2,13,coach,Creed
3,59,1664,2,13,walk,Creed
59,358,1664,2,13,walk,
358,788,1664,2,13,walk,
788,642,1664,2,15,coach,
642,106,1664,2,15,walk,
106,789,1664,2,15,walk,
789,788,1664,2,15,walk,
788,422,1664,2,16,walk,
422,789,1664,2,16,walk,
789,788,1664,2,16,walk,
788,642,1664,2,17,walk,
642,789,1664,2,17,walk,
789,788,1664,2,17,walk,
788,2,1664,2,18,walk,Mr. Coventry
2,788,1664,2,18,walk,
788,422,1664,2,19,walk,
422,789,1664,2,19,walk,
789,788,1664,2,19,walk,
788,389,1664,2,19,walk,uncle Wight
389,788,1664,2,19,walk,
788,422,1664,2,20,walk,
422,789,1664,2,20,coach,Mr. Coventry
789,667,1664,2,20,boat,
667,212,1664,2,20,walk,
212,145,1664,2,20,water,
145,788,1664,2,20,water,
