source,target,year,month,day,mode,companion
788,667,1665,7,28,boat,
667,212,1665,7,28,boat,
212,788,1665,7,28,boat,
788,789,1665,7,29,walk,
789,290,1665,7,29,coach,
290,788,1665,7,29,walk,
788,145,1665,7,30,boat,
145,212,1665,7,31,boat,Sir G. Carteret
212,145,1665,7,31,coach,Sir G. Carteret
145,131,1665,7,31,coach,Sir G. Carteret
131,788,1665,8,1,coach,
788,131,1665,8,3,horse,
131,788,1665,8,3,horse,
788,145,1665,8,3,horse,
145,131,1665,8,3,horse,
131,203,1665,8,3,boat,
203,91,1665,8,3,horse,Sir G. Carteret
91,90,1665,8,4,walk,Lady Slanning
90,91,1665,8,4,walk,
91,203,1665,8,4,horse,
203,788,1665,8,4,boat,
788,667,1665,8,4,boat,
667,145,1665,8,5,boat,
145,225,1665,8,5,walk,Sir W. Warren
225,475,1665,8,5,walk,Sir W. Warren
475,422,1665,8,5,walk,
422,788,1665,8,5,walk,
788,370,1665,8,28,walk,
370,789,1665,8,28,walk,
789,422,1665,8,28,walk,
422,667,1665,8,28,boat,
788,422,1665,8,26,walk,
422,212,1665,8,26,boat,
212,422,1665,8,26,boat,
422,788,1665,8,26,boat,
667,212,1665,8,29,coach,Commissioner Pett
212,422,1665,8,29,walk,
422,514,1665,8,29,walk,
514,145,1665,8,29,walk,
145,475,1665,8,29,walk,
475,422,1665,8,29,walk,
422,667,1665,8,29,boat,
667,212,1665,8,31,boat,
212,422,1665,8,31,walk,
422,667,1665,8,31,boat,
667,214,1665,9,1,walk,Captain Cocke
214,788,1665,9,1,boat,
788,642,1665,9,1,boat,
642,667,1665,9,1,boat,
667,214,1665,9,2,walk,
214,145,1665,9,2,walk,
145,214,1665,9,2,walk,
214,667,1665,9,2,boat,
667,214,1665,9,3,boat,
214,217,1665,9,3,walk,Captain Cocke
217,77,1665,9,3,walk,
77,667,1665,9,3,boat,
667,214,1665,9,4,boat,
214,422,1665,9,4,walk,
422,667,1665,9,4,walk,
667,214,1665,9,5,walk,
214,77,1665,9,5,walk,Captain Cocke;Lord Brouncker
77,667,1665,9,5,boat,
667,214,1665,9,6,boat,
214,788,1665,9,6,boat,
788,642,1665,9,6,boat,
642,667,1665,9,6,boat,
667,212,1665,9,7,boat,
212,55,1665,9,7,coach,Mr. Povy
55,212,1665,9,7,boat,Mr. Povy
212,470,1665,9,7,boat,
470,788,1665,9,7,walk,
788,667,1665,9,7,boat,
667,214,1665,9,8,walk,
214,422,1665,9,8,walk,
422,667,1665,9,8,boat,
667,214,1665,9,9,walk,
214,334,1665,9,9,walk,Lord Brouncker
334,667,1665,9,9,boat,Lord Brouncker
667,214,1665,9,10,boat,
214,667,1665,9,10,walk,
667,214,1665,9,10,walk,Mr. Andrews
214,77,1665,9,10,walk,Captain Cocke
77,667,1665,9,10,boat,
667,214,1665,9,11,walk,
214,601,1665,9,11,coach,Lord Brouncker;Sir W. Batten
601,214,1665,9,11,coach,Lord Brouncker;Sir W. Batten
214,667,1665,9,11,boat,
667,214,1665,9,12,walk,
214,422,1665,9,12,walk,
422,214,1665,9,12,walk,
214,667,1665,9,12,boat,
667,214,1665,9,13,walk,
214,77,1665,9,13,walk,Captain Cocke
77,601,1665,9,13,coach,Lord Brouncker;Sir W. Batten
601,214,1665,9,13,coach,Lord Brouncker;Sir W. Batten
214,667,1665,9,13,boat,
667,214,1665,9,14,walk,
214,642,1665,9,14,boat,
642,789,1665,9,14,walk,
789,511,1665,9,14,walk,
511,422,1665,9,14,walk,
422,788,1665,9,14,walk,
788,667,1665,9,14,boat,
667,214,1665,9,15,boat,
214,422,1665,9,15,boat,
422,145,1665,9,15,boat,
145,214,1665,9,15,boat,Captain Cocke
214,667,1665,9,15,boat,
667,214,1665,9,16,walk,
214,334,1665,9,16,walk,Lord Brouncker
334,214,1665,9,16,walk,Lord Brouncker
214,77,1665,9,16,walk,Captain Cocke
77,667,1665,9,16,boat,
667,214,1665,9,17,walk,Captain Cocke
214,217,1665,9,17,walk,Captain Cocke
217,77,1665,9,17,walk,Captain Cocke
77,667,1665,9,17,boat,Lord Brouncker;Captain Cocke (Bezan yacht)
667,573,1665,9,18,boat,Lord Brouncker;Captain Cocke
573,237,1665,9,18,boat,
237,89,1665,9,18,coach,Commissioner Pett
89,203,1665,9,18,coach,Commissioner Pett
203,422,1665,9,18,boat,
422,214,1665,9,18,boat,
214,642,1665,9,19,boat,
642,334,1665,9,19,coach,Lord Brouncker
334,77,1665,9,19,coach,Captain Cocke
77,667,1665,9,19,walk,
667,309,1665,9,20,coach,Lord Brouncker;Sir J. Minnes;Sir W. Batten
309,642,1665,9,20,coach,Lord Brouncker;Sir J. Minnes;Sir W. Batten
642,334,1665,9,20,coach,Lord Brouncker
334,214,1665,9,20,coach,Lord Brouncker
214,435,1665,9,21,coach,Will Hewer (Lord Bruncker's coach)
435,214,1665,9,21,coach,
214,47,1665,9,22,boat,Lord Brouncker;Sir J. Minnes
47,334,1665,9,22,walk,Lord Brouncker
334,667,1665,9,22,coach,Lord Brouncker
667,214,1665,9,22,boat,
214,642,1665,9,23,coach,Edward Montagu;Lord Brouncker;Mr. Evelyn
642,583,1665,9,23,walk,Sir W. Batten
583,214,1665,9,23,boat,
214,422,1665,9,23,boat,
422,214,1665,9,23,boat,Captain Cocke
214,573,1665,9,24,boat,Captain Cocke
573,203,1665,9,24,boat,
203,573,1665,9,24,boat,
573,258,1665,9,25,boat,Captain Cocke
258,479,1665,9,25,boat,Captain Cocke
479,203,1665,9,25,horse,
203,167,1665,9,25,boat,
167,77,1665,9,25,boat,Lord Brouncker;Sir J. Minnes
77,667,1665,9,25,boat,
667,214,1665,9,26,horse,
214,422,1665,9,26,walk,
422,214,1665,9,26,walk,
214,667,1665,9,26,boat,
667,214,1665,9,27,boat,
214,213,1665,9,27,walk,
213,77,1665,9,27,walk,Captain Cocke
77,19,1665,9,27,coach,Mr. Evelyn
19,642,1665,9,27,coach,Mr. Evelyn
642,422,1665,9,27,boat,
