source,target,year,month,day,mode,companion
788,642,1667,3,8,coach,"W. Batten;W. Penn"
642,422,1667,3,8,coach,"W. Batten;W. Penn"
422,788,1667,3,8,walk,
788,343,1667,3,8,coach,
343,610,1667,3,8,walk,
610,415,1667,3,8,walk,
415,610,1667,3,8,walk,
610,788,1667,3,8,coach,
788,514,1667,3,8,walk,
514,788,1667,3,8,walk,
788,514,1667,3,9,walk,
514,422,1667,3,9,walk,
422,788,1667,3,9,walk,
788,444,1667,3,11,walk,
444,610,1667,3,11,walk,
610,503,1667,3,11,walk,
503,610,1667,3,11,walk,
610,415,1667,3,11,walk,
415,610,1667,3,11,walk,
610,788,1667,3,11,coach,
788,514,1667,3,11,walk,
514,788,1667,3,11,walk,
422,561,1667,3,11,coach,"W. Penn"
561,422,1667,3,11,coach,
788,343,1667,3,13,walk,
343,503,1667,3,13,walk,
503,610,1667,3,13,walk,
610,503,1667,3,13,walk,
503,358,1667,3,13,walk,
358,610,1667,3,13,walk,
610,415,1667,3,13,walk,
415,610,1667,3,13,walk,
610,788,1667,3,13,coach,
788,514,1667,3,13,walk,
514,788,1667,3,13,walk,
788,343,1667,3,14,coach,"W. Batten;W. Penn"
343,788,1667,3,14,walk,
788,50,1667,3,14,coach,"W. Batten"
50,788,1667,3,14,coach,"W. Batten;W. Penn"
788,514,1667,3,14,walk,
514,788,1667,3,14,walk,
788,444,1667,3,15,walk,
444,610,1667,3,15,walk,
610,503,1667,3,15,walk,
503,788,1667,3,15,walk,
788,444,1667,3,17,coach,"W. Penn"
444,642,1667,3,17,coach,"W. Penn"
642,503,1667,3,17,walk,
503,642,1667,3,17,walk,
642,503,1667,3,17,walk,
503,343,1667,3,17,coach,
343,415,1667,3,17,walk,
415,343,1667,3,17,walk,
343,788,1667,3,17,coach,
788,343,1667,3,20,walk,
343,610,1667,3,20,walk,
610,788,1667,3,20,boat,
788,422,1667,3,20,walk,
422,642,1667,3,20,boat,
642,610,1667,3,20,walk,
610,788,1667,3,20,boat,
788,788,1667,3,22,walk,
788,343,1667,3,22,coach,
343,789,1667,3,22,walk,
789,788,1667,3,22,walk,
788,212,1667,3,22,boat,
212,667,1667,3,22,walk,
667,145,1667,3,22,walk,
145,788,1667,3,22,boat,
583,788,1667,3,22,walk,
788,642,1667,3,24,coach,"W. Batten"
642,422,1667,3,24,walk,
422,642,1667,3,24,walk,
642,415,1667,3,24,walk,
415,788,1667,3,24,boat,
788,610,1667,3,26,coach,"J. Minnes"
610,343,1667,3,26,walk,
343,610,1667,3,26,walk,
610,415,1667,3,26,walk,
415,788,1667,3,26,boat,
788,419,1667,3,27,coach,"W. Penn"
419,503,1667,3,27,coach,"W. Penn"
503,169,1667,3,27,walk,
169,610,1667,3,27,walk,
610,610,1667,3,27,walk,
610,128,1667,3,27,boat,
128,444,1667,3,27,boat,
444,788,1667,3,27,walk,
788,171,1667,3,29,coach,
171,789,1667,3,29,walk,
789,63,1667,3,29,walk,
63,789,1667,3,29,walk,
789,788,1667,3,29,walk,
788,343,1667,3,31,boat,"J. Minnes"
343,415,1667,3,31,walk,
415,415,1667,3,31,walk,
415,788,1667,3,31,boat,
788,642,1667,4,1,coach,"J. Minnes"
642,503,1667,4,1,walk,
503,642,1667,4,1,walk,
642,170,1667,4,1,walk,
170,145,1667,4,1,boat,
145,788,1667,4,1,boat,
788,642,1667,4,3,coach,"W. Batten"
642,788,1667,4,3,boat,
788,444,1667,4,4,boat,
444,155,1667,4,4,walk,
155,541,1667,4,4,walk,
541,503,1667,4,4,walk,
503,343,1667,4,4,walk,
343,788,1667,4,4,coach,
788,642,1667,4,5,walk,
642,610,1667,4,5,walk,
610,419,1667,4,5,coach,
419,593,1667,4,5,walk,
593,789,1667,4,5,walk,
789,174,1667,4,5,walk,
174,789,1667,4,5,walk,
789,788,1667,4,5,walk,
788,566,1667,4,5,coach,
566,419,1667,4,5,walk,
419,642,1667,4,5,walk,
642,788,1667,4,5,coach,
788,583,1667,4,6,walk,
583,422,1667,4,6,walk,
422,642,1667,4,6,boat,
642,503,1667,4,6,walk,
503,789,1667,4,6,coach,
789,788,1667,4,6,walk,
788,642,1667,4,7,boat,
642,503,1667,4,7,walk,
503,642,1667,4,7,walk,
642,788,1667,4,7,boat,
788,295,1667,4,8,walk,
295,788,1667,4,8,walk,
788,295,1667,4,9,coach,
295,323,1667,4,9,walk,
323,610,1667,4,9,walk,
610,444,1667,4,9,boat,
444,788,1667,4,9,walk,
788,503,1667,4,10,boat,
503,642,1667,4,10,walk,
642,503,1667,4,10,walk,
503,788,1667,4,10,coach,
788,642,1667,4,12,boat,
642,503,1667,4,12,walk,
503,788,1667,4,12,boat,
788,157,1667,4,13,walk,
157,788,1667,4,13,walk,
788,583,1667,4,14,boat,
583,610,1667,4,14,boat,
610,642,1667,4,14,walk,
642,415,1667,4,14,walk,
415,285,1667,4,14,boat,
285,788,1667,4,14,boat,
788,295,1667,4,15,coach,
295,788,1667,4,15,walk,
788,157,1667,4,16,coach,
157,418,1667,4,16,walk,
418,788,1667,4,16,coach,
788,540,1667,4,17,coach,"W. Batten;W. Penn"
540,503,1667,4,17,walk,
503,789,1667,4,17,coach,
789,295,1667,4,17,walk,
295,788,1667,4,17,walk,
788,157,1667,4,18,coach,
157,789,1667,4,18,walk,
789,788,1667,4,18,walk,
788,157,1667,4,19,coach,
157,788,1667,4,19,coach,
788,157,1667,4,20,walk,
157,788,1667,4,20,coach,"W. Penn"
788,642,1667,4,21,coach,"J. Minnes"
642,359,1667,4,21,walk,
359,282,1667,4,21,coach,
282,282,1667,4,21,walk,
282,223,1667,4,21,coach,
223,788,1667,4,21,coach,
788,444,1667,4,22,walk,
444,642,1667,4,22,walk,
642,515,1667,4,22,walk,
515,98,1667,4,22,coach,
98,642,1667,4,22,walk,
642,788,1667,4,22,boat,
788,667,1667,4,22,boat,
667,145,1667,4,22,walk,
145,788,1667,4,22,boat,
788,422,1667,4,23,walk,
422,789,1667,4,23,walk,
789,788,1667,4,23,walk,
788,642,1667,4,24,coach,"W. Penn"
642,610,1667,4,24,walk,
610,449,1667,4,24,coach,
449,642,1667,4,24,walk,
642,503,1667,4,24,walk,
503,788,1667,4,24,boat,
788,343,1667,4,25,coach,"W. Batten"
343,171,1667,4,25,walk,
171,171,1667,4,25,walk,
171,788,1667,4,25,coach,
788,171,1667,4,26,coach,"W. Batten;W. Penn"
171,540,1667,4,26,walk,
540,610,1667,4,26,walk,
610,610,1667,4,26,walk,
610,788,1667,4,26,coach,"W. Batten"
788,343,1667,4,27,boat,
343,503,1667,4,27,walk,
503,343,1667,4,27,walk,
343,503,1667,4,27,walk,
503,503,1667,4,27,walk,
503,788,1667,4,27,boat,
788,113,1667,4,28,boat,
113,113,1667,4,28,walk,
113,503,1667,4,28,walk,
503,113,1667,4,28,walk,
113,788,1667,4,28,boat,
788,113,1667,4,29,walk,
113,503,1667,4,29,walk,
503,788,1667,4,29,coach,
788,642,1667,4,30,boat,
642,503,1667,4,30,walk,
503,642,1667,4,30,walk,
642,123,1667,4,30,walk,
123,415,1667,4,30,walk,
415,788,1667,4,30,boat,
788,597,1667,5,1,walk,
597,337,1667,5,1,walk,
337,610,1667,5,1,walk,
610,415,1667,5,1,walk,
415,610,1667,5,1,walk,
610,788,1667,5,1,boat,
788,503,1667,5,1,walk,
503,788,1667,5,1,walk,
788,343,1667,5,2,walk,
343,329,1667,5,2,walk,
