source,target,year,month,day,mode,companion
788,422,1667,1,1,walk,
422,789,1667,1,1,walk,
789,422,1667,1,1,walk,
422,514,1667,1,1,walk,
514,422,1667,1,1,walk,
422,788,1667,1,1,walk,
788,642,1667,1,2,walk,
642,610,1667,1,2,walk,
610,448,1667,1,2,walk,
448,610,1667,1,2,walk,
610,148,1667,1,2,walk,
148,566,1667,1,2,coach,Sir W. Penn
566,577,1667,1,2,walk,
577,788,1667,1,2,walk,
788,422,1667,1,3,walk,
422,516,1667,1,3,walk,
516,788,1667,1,3,walk,
788,422,1667,1,4,walk,
422,788,1667,1,4,walk,
788,160,1667,1,5,coach,Elizabeth Pepys
160,422,1667,1,5,walk,
422,788,1667,1,5,walk,
788,544,1667,1,6,walk,
544,788,1667,1,6,walk,
788,174,1667,1,6,walk,B. Michell husband
174,788,1667,1,6,walk,B. Michell husband
788,422,1667,1,7,walk,
422,642,1667,1,7,coach,Lord Brouncker
642,566,1667,1,7,coach,Lord Brouncker
566,161,1667,1,7,walk,
161,788,1667,1,7,coach,Elizabeth Pepys
788,422,1667,1,8,walk,
422,514,1667,1,8,walk,
514,788,1667,1,8,walk,
788,642,1667,1,9,coach,Sir W. Batten;Sir W. Penn
642,610,1667,1,9,walk,
610,566,1667,1,9,coach,
566,176,1667,1,9,walk,
176,9,1667,1,9,walk,
9,788,1667,1,9,coach,
788,422,1667,1,11,walk,
422,788,1667,1,11,walk,
788,422,1667,1,12,walk,
422,788,1667,1,12,walk,
788,544,1667,1,13,walk,
544,788,1667,1,13,walk,
788,444,1667,1,13,walk,
444,788,1667,1,13,walk,
788,422,1667,1,14,walk,
422,788,1667,1,14,walk,
788,422,1667,1,15,walk,
422,788,1667,1,15,walk,
788,642,1667,1,16,coach,
642,4,1667,1,16,walk,
4,789,1667,1,16,walk,
789,642,1667,1,16,walk,
642,9,1667,1,16,walk,
9,514,1667,1,16,walk,
514,788,1667,1,16,walk,
788,422,1667,1,17,walk,
422,788,1667,1,17,walk,
788,422,1667,1,18,walk,
422,788,1667,1,18,walk,
788,422,1667,1,19,walk,
422,788,1667,1,19,walk,
788,444,1667,1,20,walk,
444,642,1667,1,20,walk,
642,544,1667,1,20,walk,
544,788,1667,1,20,walk,
788,642,1667,1,20,boat,brother John
642,336,1667,1,20,walk,brother John
336,541,1667,1,20,walk,brother John
541,642,1667,1,20,walk,brother John
642,516,1667,1,20,walk,
516,788,1667,1,20,walk,
788,563,1667,1,21,coach,Sir W. Batten;Sir W. Penn;R. Ford
563,171,1667,1,21,coach,Sir W. Batten;Sir W. Penn;R. Ford
171,642,1667,1,21,coach,Sir W. Batten;Sir W. Penn;R. Ford
642,610,1667,1,21,walk,
610,171,1667,1,21,walk,
171,788,1667,1,21,walk,
788,145,1667,1,21,boat,
145,475,1667,1,21,walk,
475,422,1667,1,21,walk,
422,514,1667,1,21,walk,
514,788,1667,1,21,walk,
788,422,1667,1,22,walk,
422,788,1667,1,22,walk,
788,642,1667,1,23,coach,Sir W. Batten;Sir W. Penn
642,540,1667,1,23,walk,Lord Brouncker
540,642,1667,1,23,coach,Almoner
642,492,1667,1,23,coach,Almoner
492,82,1667,1,23,walk,
82,723,1667,1,23,walk,
723,577,1667,1,23,coach,Elizabeth Pepys;Mercer
577,418,1667,1,23,walk,
418,788,1667,1,23,coach,Elizabeth Pepys;Mercer;Mr. Pierce
788,422,1667,1,24,walk,
422,788,1667,1,24,walk,
788,642,1667,1,25,coach,Elizabeth Pepys
642,336,1667,1,25,coach,Elizabeth Pepys
336,788,1667,1,25,coach,Elizabeth Pepys
788,331,1667,1,25,coach,Elizabeth Pepys
331,788,1667,1,25,coach,Elizabeth Pepys
788,422,1667,1,26,walk,
422,788,1667,1,26,walk,
788,444,1667,1,27,boat,
444,642,1667,1,27,boat,Betty Michell;Betty Michell
642,515,1667,1,27,walk,
515,642,1667,1,27,walk,
642,503,1667,1,27,walk,
503,509,1667,1,27,walk,
509,449,1667,1,27,walk,
449,541,1667,1,27,walk,Roger Pepys
541,642,1667,1,27,walk,Roger Pepys
642,562,1667,1,27,walk,
562,444,1667,1,27,boat,Betty Michell;Betty Michell
444,788,1667,1,27,walk,
788,444,1667,1,28,boat,
444,566,1667,1,28,boat,
566,610,1667,1,28,walk,
610,562,1667,1,28,walk,
562,422,1667,1,28,coach,
422,788,1667,1,28,coach,
788,422,1667,1,29,walk,
422,788,1667,1,29,walk,
788,444,1667,1,30,walk,Elizabeth Pepys;Mercer;Barker
444,788,1667,1,30,walk,Elizabeth Pepys;Mercer;Barker
788,511,1667,1,31,walk,
511,789,1667,1,31,walk,
789,511,1667,1,31,walk,
511,788,1667,1,31,walk,
788,422,1667,2,1,walk,
422,145,1667,2,1,boat,
