source,target,year,month,day,mode,companion
478,203,1667,7,1,coach,John Creed
203,788,1667,7,1,coach,John Creed
788,422,1667,7,2,walk,
422,788,1667,7,2,walk,
788,422,1667,7,3,walk,
422,642,1667,7,3,boat,
642,610,1667,7,3,walk,
610,415,1667,7,3,walk,
415,642,1667,7,3,walk,
642,788,1667,7,3,coach,
788,422,1667,7,4,coach,
422,497,1667,7,4,walk,
497,440,1667,7,4,walk,
440,788,1667,7,4,walk,
788,422,1667,7,5,walk,
422,540,1667,7,5,coach,Sir G. Carteret
540,275,1667,7,5,coach,Sir G. Carteret
275,642,1667,7,5,coach,Sir G. Carteret
642,593,1667,7,5,coach,
593,706,1667,7,5,coach,
706,788,1667,7,5,coach,
788,422,1667,7,6,walk,
422,757,1667,7,6,coach,
757,610,1667,7,6,walk,
610,415,1667,7,6,walk,
415,642,1667,7,6,walk,
642,788,1667,7,6,coach,
788,422,1667,7,7,walk,
422,226,1667,7,7,walk,W. Hewer
226,788,1667,7,7,walk,
788,422,1667,7,8,walk,
422,789,1667,7,8,walk,
789,788,1667,7,8,walk,
788,422,1667,7,9,walk,
422,540,1667,7,9,coach,
540,336,1667,7,9,walk,Sir W. Coventry
336,642,1667,7,9,coach,Sir G. Carteret
642,788,1667,7,9,coach,
788,540,1667,7,10,walk,
540,344,1667,7,10,walk,
344,610,1667,7,10,walk,
610,788,1667,7,10,coach,
788,540,1667,7,12,coach,
540,610,1667,7,12,walk,
610,540,1667,7,12,walk,
540,170,1667,7,12,coach,Sir H. Cholmly
170,789,1667,7,12,coach,
789,337,1667,7,12,walk,
337,788,1667,7,12,coach,
788,522,1667,7,13,coach,Sir W. Batten
522,540,1667,7,13,coach,
540,642,1667,7,13,walk,
642,174,1667,7,13,coach,
174,789,1667,7,13,walk,
789,577,1667,7,13,coach,
577,788,1667,7,13,coach,
788,540,1667,7,14,coach,Mrs. Turner
540,164,1667,7,14,coach,Mrs. Turner
164,788,1667,7,14,coach,Mrs. Turner
788,422,1667,7,16,walk,
422,788,1667,7,16,walk,
788,422,1667,7,17,walk,
422,557,1667,7,17,coach,
557,788,1667,7,17,coach,
788,540,1667,7,17,coach,
540,642,1667,7,17,walk,
642,789,1667,7,17,walk,
789,414,1667,7,17,walk,
414,788,1667,7,17,coach,
788,422,1667,7,18,walk,
422,282,1667,7,18,coach,Mrs. Turner;W. Batelier
282,788,1667,7,18,coach,
788,610,1667,7,19,walk,
610,788,1667,7,19,coach,
788,422,1667,7,20,walk,
422,789,1667,7,20,walk,
789,788,1667,7,20,walk,
788,503,1667,7,21,boat,
503,185,1667,7,21,boat,John Creed
185,788,1667,7,21,boat,
788,540,1667,7,22,walk,Sir W. Batten;Sir J. Minnes
540,336,1667,7,22,coach,Sir G. Carteret
336,789,1667,7,22,coach,Sir G. Carteret
789,788,1667,7,22,coach,Mr. Gawden
788,642,1667,7,22,coach,
642,610,1667,7,22,walk,John Creed
610,642,1667,7,22,coach,
642,593,1667,7,22,coach,
593,788,1667,7,22,coach,
788,422,1667,7,23,walk,
788,422,1667,7,24,walk,
422,788,1667,7,24,walk,
788,203,1667,7,24,boat,
203,788,1667,7,24,boat,
788,422,1667,7,25,walk,
788,422,1667,7,26,walk,
422,788,1667,7,26,walk,
788,610,1667,7,26,boat,
610,415,1667,7,26,walk,
415,288,1667,7,26,boat,
288,185,1667,7,26,boat,
185,788,1667,7,26,boat,
788,540,1667,7,27,walk,
540,789,1667,7,27,walk,
