source,target,year,month,day,mode,companion
788,444,1667,11,1,boat,
444,642,1667,11,1,boat,
642,515,1667,11,1,walk,
515,642,1667,11,1,walk,
642,544,1667,11,1,walk,
544,642,1667,11,1,walk,Creed
642,789,1667,11,1,walk,Creed
789,561,1667,11,1,walk,Warren
561,577,1667,11,1,walk,
577,422,1667,11,1,walk,
422,788,1667,11,1,walk,
788,422,1667,11,2,walk,
422,577,1667,11,2,coach,wife;Willett
577,422,1667,11,2,walk,wife;Willett
422,788,1667,11,2,walk,
788,544,1667,11,3,walk,wife
544,788,1667,11,3,walk,wife
788,610,1667,11,4,boat,Ford
610,515,1667,11,4,walk,
515,788,1667,11,4,walk,
788,170,1667,11,4,walk,Cholmly
170,789,1667,11,4,walk,Cholmly
789,788,1667,11,4,coach,
788,593,1667,11,4,coach,wife;Willett
593,610,1667,11,4,coach,
610,593,1667,11,4,coach,wife
593,788,1667,11,4,coach,wife;Willett
788,422,1667,11,5,walk,
422,344,1667,11,5,coach,
344,593,1667,11,5,coach,wife;Willett
593,788,1667,11,5,coach,wife;Willett
788,451,1667,11,6,walk,
451,268,1667,11,6,walk,
268,546,1667,11,6,walk,
546,540,1667,11,6,walk,
540,788,1667,11,6,walk,
788,542,1667,11,6,coach,wife;Willett
542,788,1667,11,6,coach,wife;Willett
788,422,1667,11,7,walk,
422,158,1667,11,7,walk,wife;Willett;Pen
158,788,1667,11,7,walk,Pen
788,422,1667,11,8,walk,
788,610,1667,11,9,walk,
610,422,1667,11,9,walk,
422,788,1667,11,9,walk,
788,544,1667,11,10,walk,wife
544,642,1667,11,10,walk,Pen
642,788,1667,11,10,walk,Pen
788,422,1667,11,11,walk,
422,170,1667,11,11,walk,Carteret;Brouncker
170,334,1667,11,11,walk,Carteret;Brouncker
334,566,1667,11,11,coach,Carteret
566,788,1667,11,11,walk,
788,577,1667,11,11,coach,wife;Willett
577,788,1667,11,11,coach,
788,422,1667,11,12,walk,
422,788,1667,11,12,walk,
788,444,1667,11,13,walk,
444,610,1667,11,13,walk,
610,788,1667,11,13,walk,
788,158,1667,11,13,coach,wife;Willett
158,788,1667,11,13,coach,wife;Willett
788,422,1667,11,14,walk,
422,344,1667,11,14,coach,Creed
344,593,1667,11,14,coach,wife;Willett
593,9,1667,11,14,coach,Creed
9,422,1667,11,14,walk,
422,788,1667,11,14,walk,
788,3,1667,11,15,walk,
3,610,1667,11,15,walk,
610,337,1667,11,15,walk,
337,642,1667,11,15,walk,
642,337,1667,11,15,walk,
337,642,1667,11,15,walk,
642,337,1667,11,15,walk,
337,788,1667,11,15,walk,
788,422,1667,11,16,walk,
422,642,1667,11,16,coach,
642,610,1667,11,16,walk,
610,642,1667,11,16,walk,
642,788,1667,11,16,coach,
788,544,1667,11,17,walk,wife
544,788,1667,11,17,walk,wife
788,422,1667,11,18,walk,
422,642,1667,11,18,coach,
642,593,1667,11,18,coach,wife
593,788,1667,11,18,coach,wife
788,451,1667,11,19,walk,
451,788,1667,11,19,coach,Brouncker;Harvy;Hewer
788,9,1667,11,21,coach,
9,566,1667,11,21,walk,Creed
566,788,1667,11,21,walk,Creed
788,444,1667,11,22,boat,
444,642,1667,11,22,boat,
642,610,1667,11,22,walk,Creed
610,170,1667,11,22,walk,Creed
170,566,1667,11,22,coach,Creed
566,788,1667,11,22,coach,
788,422,1667,11,23,walk,
422,788,1667,11,23,walk,
788,422,1667,11,24,walk,
422,788,1667,11,24,walk,
788,566,1667,11,26,coach,
566,789,1667,11,26,walk,
789,788,1667,11,26,walk,
788,334,1667,11,27,walk,Minnes;Pen
334,788,1667,11,27,walk,Minnes;Pen
788,577,1667,11,28,coach,wife
577,642,1667,11,28,coach,Brouncker;Minnes;Harvy
642,577,1667,11,28,coach,
577,788,1667,11,28,coach,
788,422,1667,11,29,walk,
422,788,1667,11,29,walk,
788,9,1667,11,30,coach,
9,713,1667,11,30,walk,
713,789,1667,11,30,walk,
789,610,1667,11,30,walk,
610,788,1667,11,30,coach,
788,544,1667,12,1,walk,
544,788,1667,12,1,walk,
788,3,1667,12,2,walk,
3,170,1667,12,2,walk,Cholmly
170,610,1667,12,2,walk,Cholmly
610,337,1667,12,2,walk,
337,642,1667,12,2,coach,
642,610,1667,12,2,walk,
610,789,1667,12,2,walk,
789,593,1667,12,2,walk,wife
593,788,1667,12,2,coach,wife
788,515,1667,12,3,coach,
515,422,1667,12,3,walk,
422,516,1667,12,3,walk,
516,788,1667,12,3,walk,
788,593,1667,12,4,coach,wife
593,642,1667,12,4,walk,
642,610,1667,12,4,walk,
610,642,1667,12,4,walk,
642,593,1667,12,4,walk,wife
593,788,1667,12,4,coach,wife
788,789,1667,12,5,walk,
789,788,1667,12,5,walk,
788,540,1667,12,6,coach,Minnes
540,642,1667,12,6,walk,Minnes
642,593,1667,12,6,coach,wife;Willett
593,642,1667,12,6,coach,wife;Willett
642,788,1667,12,6,coach,Minnes
788,642,1667,12,8,boat,
642,788,1667,12,8,boat,
788,593,1667,12,10,coach,wife;Willett
593,610,1667,12,10,coach,
610,593,1667,12,10,walk,wife
593,788,1667,12,10,coach,wife;Willett
788,540,1667,12,11,coach,Minnes
540,610,1667,12,11,walk,
610,788,1667,12,11,walk,
788,610,1667,12,12,coach,
610,788,1667,12,12,coach,
788,158,1667,12,12,walk,
158,546,1667,12,12,walk,
546,788,1667,12,12,walk,
788,451,1667,12,13,walk,
451,337,1667,12,13,walk,Creed
337,610,1667,12,13,walk,
610,171,1667,12,13,coach,Warren
171,582,1667,12,13,walk,Warren
582,788,1667,12,13,walk,Warren
788,642,1667,12,15,boat,
642,788,1667,12,15,boat,
788,422,1667,12,16,walk,
422,610,1667,12,16,walk,
610,788,1667,12,16,walk,
788,642,1667,12,17,coach,Pen;Harvy
642,788,1667,12,17,coach,Pen
788,3,1667,12,18,walk,
3,422,1667,12,18,walk,
422,788,1667,12,18,walk,
788,222,1667,12,19,coach,Pen
222,789,1667,12,19,coach,Pen
789,788,1667,12,19,walk,
788,610,1667,12,19,coach,
610,788,1667,12,19,coach,
788,451,1667,12,20,walk,
451,788,1667,12,20,walk,
788,516,1667,12,20,walk,Ford
516,788,1667,12,20,walk,
788,544,1667,12,22,walk,
544,788,1667,12,22,walk,
788,515,1667,12,23,coach,
515,642,1667,12,23,walk,Coventry
642,789,1667,12,23,walk,Creed
789,788,1667,12,23,walk,Creed
788,540,1667,12,24,coach,
540,610,1667,12,24,walk,
610,562,1667,12,24,walk,
562,642,1667,12,24,walk,
642,788,1667,12,24,coach,
788,544,1667,12,25,walk,
544,788,1667,12,25,walk,
788,610,1667,12,26,walk,
610,788,1667,12,26,walk,
788,577,1667,12,26,coach,wife
577,788,1667,12,26,coach,Pen
788,642,1667,12,27,boat,
642,541,1667,12,27,walk,Cholmly
541,642,1667,12,27,walk,Cholmly
642,566,1667,12,27,walk,
566,642,1667,12,27,coach,
642,540,1667,12,27,coach,Pen;Middleton
540,788,1667,12,27,coach,Pen;Middleton
788,577,1667,12,28,coach,wife;Willett
577,422,1667,12,28,walk,
422,788,1667,12,28,walk,
788,610,1667,12,30,coach,
610,642,1667,12,30,walk,Cholmly
642,789,1667,12,30,walk,Cocke
789,341,1667,12,30,coach,Cocke
341,577,1667,12,30,coach,Carteret
577,788,1667,12,30,coach,
788,577,1667,12,30,coach,
577,418,1667,12,30,walk,Knepp
418,546,1667,12,30,walk,
546,788,1667,12,30,walk,
788,642,1667,12,31,coach,
642,565,1667,12,31,walk,
565,788,1667,12,31,walk,
788,593,1667,12,31,coach,wife
593,415,1667,12,31,walk,
415,593,1667,12,31,walk,
593,788,1667,12,31,coach,wife
