source,target,year,month,day,mode,companion
788,427,1669,1,1,walk,W. Hewer
427,789,1669,1,1,walk,W. Hewer
789,592,1669,1,1,walk,W. Hewer
592,577,1669,1,1,coach,Elizabeth Pepys
577,592,1669,1,1,coach,Elizabeth Pepys
592,788,1669,1,1,walk,Elizabeth Pepys
788,642,1669,1,3,coach,W. Hewer;Mr. Spong
642,788,1669,1,3,coach,
788,642,1669,1,4,walk,W. Hewer
642,593,1669,1,4,coach,W. Hewer
593,788,1669,1,4,coach,Elizabeth Pepys;W. Hewer
788,642,1669,1,8,coach,Colonel Middleton;Mr. Tippets
642,788,1669,1,8,coach,W. Hewer
788,642,1669,1,8,coach,Elizabeth Pepys;Mr. Hater
642,788,1669,1,8,coach,Elizabeth Pepys
788,515,1669,1,13,coach,
515,642,1669,1,13,walk,
642,422,1669,1,13,walk,
422,593,1669,1,13,walk,
593,577,1669,1,13,coach,Elizabeth Pepys;The. Turner
577,788,1669,1,13,coach,Elizabeth Pepys
788,515,1669,1,15,coach,
515,642,1669,1,15,walk,
642,788,1669,1,15,coach,
788,515,1669,1,18,walk,W. Hewer
515,342,1669,1,18,walk,Edward Montagu
342,642,1669,1,18,walk,Edward Montagu
642,788,1669,1,18,coach,W. Hewer;Sidney Montagu;Mr. Sheres
788,460,1669,1,18,walk,
460,642,1669,1,18,walk,
642,593,1669,1,18,walk,Elizabeth Pepys
593,788,1669,1,18,coach,Elizabeth Pepys
788,577,1669,1,19,coach,Elizabeth Pepys;The. Turner
577,593,1669,1,19,coach,Elizabeth Pepys
593,788,1669,1,19,coach,Elizabeth Pepys
788,642,1669,1,20,coach,Elizabeth Pepys;W. Hewer
642,593,1669,1,20,walk,Elizabeth Pepys;W. Hewer
593,235,1669,1,20,coach,Elizabeth Pepys;W. Hewer
235,158,1669,1,20,coach,Elizabeth Pepys;W. Hewer
158,789,1669,1,20,coach,Elizabeth Pepys;W. Hewer
789,788,1669,1,20,coach,Elizabeth Pepys;W. Hewer
788,566,1669,1,21,walk,boy Tom
566,642,1669,1,21,coach,
642,788,1669,1,21,coach,
788,419,1669,1,21,coach,Madam Turner;Dyke
419,158,1669,1,21,coach,Madam Turner;The. Turner
158,789,1669,1,21,coach,Elizabeth Pepys
789,788,1669,1,21,coach,Elizabeth Pepys
788,642,1669,1,22,walk,W. Hewer
642,789,1669,1,22,walk,
789,788,1669,1,22,walk,
788,642,1669,1,25,coach,
642,788,1669,1,25,coach,
788,642,1669,1,26,coach,Elizabeth Pepys
642,788,1669,1,26,coach,Elizabeth Pepys
788,642,1669,1,27,coach,Sir J. Minnes
642,566,1669,1,27,coach,
566,419,1669,1,27,coach,
419,158,1669,1,27,coach,Roger Pepys;Mrs. Dickenson
158,128,1669,1,27,coach,
128,788,1669,1,27,coach,Roger Pepys
788,419,1669,1,28,coach,Elizabeth Pepys
419,577,1669,1,28,coach,Elizabeth Pepys;The. Turner
577,419,1669,1,28,coach,
419,788,1669,1,28,coach,Elizabeth Pepys
788,642,1669,1,29,coach,W. Hewer;Colonel Middleton
642,789,1669,1,29,walk,
789,788,1669,1,29,coach,Roger Pepys
788,128,1669,1,29,coach,
128,788,1669,1,29,coach,
788,422,1669,1,12,walk,
422,344,1669,1,12,walk,
344,422,1669,1,12,walk,
422,788,1669,1,12,walk,
788,583,1669,2,1,boat,
583,134,1669,2,1,walk,Mr. Povy
134,401,1669,2,1,walk,Mr. Povy
401,330,1669,2,1,coach,Mr. Povy
330,788,1669,2,1,walk,
788,577,1669,2,1,coach,Elizabeth Pepys
577,158,1669,2,1,coach,Elizabeth Pepys;The. Turner;Mrs. Mordaunt
158,788,1669,2,1,coach,Elizabeth Pepys
788,577,1669,2,2,coach,Elizabeth Pepys;Mr. Sheres
577,642,1669,2,2,coach,Mr. Sheres
642,788,1669,2,2,coach,
788,515,1669,2,5,coach,
515,642,1669,2,5,coach,
642,788,1669,2,5,coach,
788,280,1669,2,4,coach,Elizabeth Pepys;Mr. Spong
280,122,1669,2,4,coach,Elizabeth Pepys
122,427,1669,2,4,coach,Elizabeth Pepys
427,788,1669,2,4,coach,Elizabeth Pepys
788,642,1669,2,8,coach,Elizabeth Pepys;W. Hewer
642,593,1669,2,8,walk,Elizabeth Pepys
593,788,1669,2,8,coach,Elizabeth Pepys;W. Hewer
788,642,1669,2,9,coach,Elizabeth Pepys
642,788,1669,2,9,coach,Elizabeth Pepys
788,642,1669,2,10,coach,Elizabeth Pepys;W. Hewer
642,457,1669,2,10,coach,Elizabeth Pepys;W. Hewer
457,235,1669,2,10,coach,Elizabeth Pepys;W. Hewer
235,642,1669,2,10,coach,Elizabeth Pepys;W. Hewer
642,788,1669,2,10,coach,Elizabeth Pepys;W. Hewer
788,642,1669,2,12,coach,Elizabeth Pepys;Tom Pepys
642,788,1669,2,12,coach,Elizabeth Pepys;Tom Pepys
788,342,1669,2,12,coach,Sir J. Minnes;Mr. Tippets
342,344,1669,2,12,walk,Sir J. Minnes;Mr. Tippets
344,788,1669,2,12,walk,
788,235,1669,2,12,coach,Elizabeth Pepys;Tom Pepys
235,134,1669,2,12,coach,Elizabeth Pepys;Tom Pepys
134,642,1669,2,12,coach,Elizabeth Pepys
642,122,1669,2,12,coach,Elizabeth Pepys
122,788,1669,2,12,coach,Elizabeth Pepys
788,642,1669,2,14,coach,
642,788,1669,2,14,coach,W. Hewer
788,122,1669,2,14,coach,Elizabeth Pepys;W. Hewer
122,592,1669,2,14,coach,Elizabeth Pepys;W. Hewer
592,788,1669,2,14,walk,Elizabeth Pepys;W. Hewer
788,642,1669,2,15,walk,W. Hewer
642,610,1669,2,17,coach,W. Hewer
610,788,1669,2,17,coach,W. Hewer
788,110,1669,2,17,coach,
110,544,1669,2,17,coach,
544,788,1669,2,17,coach,
788,158,1669,2,18,coach,Elizabeth Pepys
158,788,1669,2,18,coach,Elizabeth Pepys
788,158,1669,2,19,coach,Lord Brouncker
158,788,1669,2,19,coach,
788,158,1669,2,20,coach,Elizabeth Pepys;Mercer;Deb Willet
158,788,1669,2,20,coach,Elizabeth Pepys;Mercer;Deb Willet
788,544,1669,2,21,walk,Elizabeth Pepys;Mercer;Deb Willet
544,788,1669,2,21,walk,Elizabeth Pepys;Mercer;Deb Willet
788,577,1669,2,26,coach,Elizabeth Pepys;Mercer;Deb Willet
577,788,1669,2,26,coach,Elizabeth Pepys;Mercer;Deb Willet
788,599,1669,2,24,walk,Elizabeth Pepys;Mercer;Deb Willet
599,788,1669,2,24,walk,Elizabeth Pepys;Mercer;Deb Willet
788,158,1669,2,25,coach,Elizabeth Pepys;Mercer;Deb Willet
158,422,1669,2,25,walk,
422,788,1669,2,25,walk,
