n1_source,n1_target,my_source,my_target,year,month,day,mode,companion
17,1,174,264,1660,January,1,walk,Elizabeth Pepys
1,170,264,566,1660,January,2,walk,
66,528,374,642,1660,January,2,walk,Thomas Moore
528,674,642,412,1660,January,2,walk,
1,71,264,122,1660,January,3,walk,
71,170,122,566,1660,January,3,walk,
674,1,412,264,1660,January,3,walk,
15,12,169,659,1660,January,4,walk,
12,13,659,610,1660,January,4,walk,
13,104,610,562,1660,January,4,walk,
104,1,562,264,1660,January,4,walk,
15,6,169,650,1660,January,5,walk,
6,15,650,169,1660,January,5,walk,
674,687,412,692,1660,January,5,walk,
687,17,692,174,1660,January,5,walk,
17,674,174,412,1660,January,5,walk,
1,134,264,231,1660,January,6,walk,John Pepys Jr.
134,15,231,169,1660,January,6,walk,
1,990,264,694,1660,January,6,walk,
990,1,694,264,1660,January,6,walk,Elizabeth Pepys
674,6,412,650,1660,January,7,walk,
6,1,650,264,1660,January,7,walk,
17,745,174,123,1660,January,8,walk,Elizabeth Pepys
745,71,123,122,1660,January,8,walk,
71,17,122,174,1660,January,8,walk,
15,286,169,4,1660,January,10,walk,
286,167,4,553,1660,January,10,walk,
167,694,553,107,1660,January,10,walk,
694,992,107,642,1660,January,10,walk,
66,674,374,412,1660,January,11,walk,
12,1,659,264,1660,January,12,walk,
1,682,264,224,1660,January,12,walk,
15,12,169,659,1660,January,13,walk,
1,15,264,169,1660,January,14,walk,
15,13,169,610,1660,January,14,walk,
13,75,610,204,1660,January,14,walk,Henry Moore
75,1,204,264,1660,January,14,walk,
15,987,169,693,1660,January,16,walk,
987,993,693,209,1660,January,16,walk,
13,995,610,590,1660,January,17,coach,Elizabeth Pepys
694,134,107,231,1660,January,17,walk,
12,246,659,4,1660,January,18,walk,
246,6,4,650,1660,January,18,walk,
6,66,650,374,1660,January,18,walk,
987,674,693,412,1660,January,19,walk,Edward Shepley; Thomas Moore
674,996,412,86,1660,January,19,walk,
996,676,86,642,1660,January,19,walk,
987,13,693,610,1660,January,20,walk,
13,444,610,177,1660,January,20,boat,
444,694,177,107,1660,January,20,walk,
13,1,610,264,1660,January,20,walk,
1,6,264,650,1660,January,21,walk,
6,15,650,169,1660,January,21,walk,
15,987,169,693,1660,January,21,walk,
987,66,693,374,1660,January,21,walk,Mr. Hawly
683,674,194,412,1660,January,21,walk,
1,745,264,123,1660,January,22,walk,
745,17,123,174,1660,January,22,walk,Elizabeth Pepys
1141,15,693,169,1660,January,23,walk,
1,674,264,412,1660,January,23,walk,
674,1,412,264,1660,January,23,walk,
12,5,659,394,1660,January,24,walk,Elizabeth Pepys
5,694,394,107,1660,January,24,walk,
694,1,107,264,1660,January,24,walk,
1,24,264,592,1660,January,25,boat,
24,1,592,264,1660,January,25,walk,
15,12,169,659,1660,January,26,walk,
12,1,659,264,1660,January,26,walk,
1,694,264,107,1660,January,26,walk,
694,1,107,264,1660,January,26,walk,
1,574,264,372,1660,January,27,walk,
574,13,372,610,1660,January,27,walk,
13,331,610,191,1660,January,27,walk,
331,1,191,264,1660,January,27,walk,
1,134,264,231,1660,January,28,walk,
134,15,231,169,1660,January,28,walk,
15,13,169,610,1660,January,28,walk,
13,66,610,374,1660,January,28,walk,
66,1,374,264,1660,January,28,walk,
66,1,374,264,1660,January,29,walk,
1,70,264,46,1660,January,29,walk,
70,17,46,174,1660,January,29,walk,
1,6,264,650,1660,January,31,walk,
6,134,650,231,1660,January,31,walk,
134,15,231,169,1660,January,31,walk,
674,134,412,231,1660,January,31,walk,
134,1,231,264,1660,January,31,walk,
674,1,412,264,1660,February,1,walk,
1,66,264,374,1660,February,1,walk,
66,12,374,659,1660,February,1,walk,
1,75,264,204,1660,February,2,walk,
75,76,204,642,1660,February,2,walk,
76,1,642,264,1660,February,2,walk,
1,3,264,642,1660,February,2,boat,
3,1,642,264,1660,February,2,boat,
13,83,610,476,1660,February,3,walk,Roger Pepys
83,246,476,4,1660,February,3,walk,Betty Turner; Joyce Norton
246,1,4,264,1660,February,3,walk,Betty Turner; Joyce Norton
3,107,642,541,1660,February,3,walk,Elizabeth Pepys
115,673,85,331,1660,February,3,walk,
673,1,331,264,1660,February,3,walk,
15,13,169,610,1660,February,4,walk,
12,679,659,642,1660,February,4,walk,
679,717,642,564,1660,February,4,boat,
717,156,564,204,1660,February,4,walk,
66,677,374,691,1660,February,4,walk,
677,674,691,412,1660,February,4,walk,
674,1,412,264,1660,February,4,walk,
1,13,264,610,1660,February,5,boat,Elizabeth Pepys
13,1,610,264,1660,February,5,boat,
66,13,374,610,1660,February,6,walk,
13,104,610,562,1660,February,6,walk,
13,1,610,264,1660,February,6,walk,John Pepys Sr
1,678,264,63,1660,February,6,walk,John Pepys Sr
678,673,63,331,1660,February,6,walk,
673,12,331,659,1660,February,6,walk,
1,15,264,169,1660,February,7,walk,
15,170,169,566,1660,February,7,walk,
170,675,566,546,1660,February,7,walk,
675,451,546,548,1660,February,7,walk,
451,1,548,264,1660,February,7,walk,
1,13,264,610,1660,February,7,walk,
66,673,374,331,1660,February,7,walk,
673,1,331,264,1660,February,7,walk,
104,12,562,659,1660,February,8,walk,
12,83,659,476,1660,February,8,walk,
83,1,476,264,1660,February,8,walk,
1,674,264,412,1660,February,8,walk,
674,170,412,566,1660,February,8,walk,
170,17,566,174,1660,February,8,walk,
1,689,264,279,1660,February,10,walk,
689,15,279,169,1660,February,10,walk,
1,15,264,169,1660,February,10,walk,
15,1,169,264,1660,February,10,walk,
15,13,169,610,1660,February,11,walk,
13,688,610,560,1660,February,11,walk,
688,724,560,83,1660,February,11,walk,
724,725,83,453,1660,February,11,walk,
105,691,222,579,1660,February,11,walk,
691,105,579,222,1660,February,11,walk,
105,167,222,553,1660,February,11,walk,
167,693,553,94,1660,February,11,walk,
693,1,94,264,1660,February,11,walk,
1,23,264,789,1660,February,11,walk,Elizabeth Pepys
23,1,789,264,1660,February,11,walk,Elizabeth Pepys
1,3,264,642,1660,February,12,walk,
1,72,264,359,1660,February,12,walk,Thomas Pepys
72,21,359,546,1660,February,12,walk,
21,71,546,122,1660,February,12,walk,Elizabeth Pepys
71,17,122,174,1660,February,12,walk,Elizabeth Pepys
17,1,174,264,1660,February,12,walk,Elizabeth Pepys
15,1,169,264,1660,February,13,walk,
1,674,264,412,1660,February,13,walk,
1,174,264,458,1660,February,13,walk,Elizabeth Pepys
