source,target,year,month,day,mode,companion
1,685,1660,January,1,walk,
685,1,1660,January,1,walk,
1,17,1660,January,1,walk,Elizabeth Pepys
17,1,1660,January,1,walk,Elizabeth Pepys
1,170,1660,January,2,walk,
170,66,1660,January,2,walk,
66,15,1660,January,2,walk,
15,13,1660,January,2,walk,
13,1,1660,January,2,walk,
1,66,1660,January,2,walk,
66,528,1660,January,2,walk,Thomas Moore
528,674,1660,January,2,walk,
674,1,1660,January,2,walk,
1,12,1660,January,2,walk,
12,1,1660,January,2,walk,
1,71,1660,January,3,walk,
71,170,1660,January,3,walk,
170,15,1660,January,3,walk,
15,1,1660,January,3,walk,
1,674,1660,January,3,walk,
674,1,1660,January,3,walk,
1,15,1660,January,4,walk,
15,12,1660,January,4,walk,
12,13,1660,January,4,walk,
13,104,1660,January,4,walk,
104,1,1660,January,4,walk,
1,12,1660,January,4,walk,
1,15,1660,January,5,walk,
15,6,1660,January,5,walk,
6,15,1660,January,5,walk,
15,1,1660,January,5,walk,
1,674,1660,January,5,walk,Elizabeth Pepys
674,687,1660,January,5,walk,
687,17,1660,January,5,walk,
17,674,1660,January,5,walk,
674,1,1660,January,5,walk,Elizabeth Pepys
1,134,1660,January,6,walk,John Pepys Jr.
134,15,1660,January,6,walk,
15,1,1660,January,6,walk,
1,990,1660,January,6,walk,
990,1,1660,January,6,walk,Elizabeth Pepys
1,15,1660,January,7,walk,
15,1,1660,January,7,walk,
1,987,1660,January,7,walk,
987,1,1660,January,7,walk,
1,989,1660,January,7,walk,
989,674,1660,January,7,walk,
674,6,1660,January,7,walk,
6,1,1660,January,7,walk,
1,685,1660,January,8,walk,
685,17,1660,January,8,walk,
17,745,1660,January,8,walk,Elizabeth Pepys
745,71,1660,January,8,walk,
71,17,1660,January,8,walk,
17,1,1660,January,8,walk,Edward Shepley
1,134,1660,January,9,walk,
134,694,1660,January,9,walk,
694,13,1660,January,9,walk,
13,674,1660,January,9,walk,
674,13,1660,January,9,walk,
13,1,1660,January,9,walk,
1,66,1660,January,10,walk,
66,15,1660,January,10,walk,
15,286,1660,January,10,walk,
286,167,1660,January,10,walk,
167,694,1660,January,10,walk,
694,992,1660,January,10,walk,
992,1,1660,January,10,walk,
1,12,1660,January,11,walk,
12,66,1660,January,11,walk,John Pepys Sr
66,674,1660,January,11,walk,
674,694,1660,January,11,walk,
694,1,1660,January,11,walk,
1,134,1660,January,12,walk,
134,15,1660,January,12,walk,
15,12,1660,January,12,walk,
12,1,1660,January,12,walk,
1,682,1660,January,12,walk,
682,1,1660,January,12,walk,
1,15,1660,January,13,walk,
15,12,1660,January,13,walk,
12,1,1660,January,13,walk,
1,15,1660,January,14,walk,
15,13,1660,January,14,walk,
13,75,1660,January,14,walk,Henry Moore
75,1,1660,January,14,walk,
1,694,1660,January,14,walk,
694,1,1660,January,14,walk,
1,66,1660,January,16,walk,
66,15,1660,January,16,walk,
15,987,1660,January,16,walk,
987,993,1660,January,16,walk,
993,994,1660,January,16,walk,
994,1,1660,January,16,walk,Edward Shepley
1,66,1660,January,17,coach,
66,13,1660,January,17,walk,
13,995,1660,January,17,coach,Elizabeth Pepys
995,66,1660,January,17,coach,Elizabeth Pepys
66,674,1660,January,17,walk,
674,694,1660,January,17,walk,
694,134,1660,January,17,walk,
134,1,1660,January,17,walk,
1,15,1660,January,18,walk,
15,12,1660,January,18,walk,
12,246,1660,January,18,walk,
246,6,1660,January,18,walk,
6,66,1660,January,18,walk,
66,1,1660,January,18,walk,
1,987,1660,January,19,walk,
987,492,1660,January,19,walk,Edward Shepley; James Pierce
492,3,1660,January,19,walk,
3,987,1660,January,19,walk,
987,674,1660,January,19,walk,Edward Shepley; Thomas Moore
674,996,1660,January,19,walk,
996,676,1660,January,19,walk,
676,1,1660,January,19,walk,
1,987,1660,January,20,walk,
987,13,1660,January,20,walk,
13,444,1660,January,20,boat,
444,694,1660,January,20,walk,
694,13,1660,January,20,walk,
13,1,1660,January,20,walk,
1,6,1660,January,21,walk,
6,15,1660,January,21,walk,
15,987,1660,January,21,walk,
987,66,1660,January,21,walk,Mr. Hawly
66,997,1660,January,21,walk,
997,683,1660,January,21,walk,
683,674,1660,January,21,walk,
674,3,1660,January,21,walk,
3,1,1660,January,21,walk,
1,745,1660,January,22,walk,
745,17,1660,January,22,walk,Elizabeth Pepys
17,1,1660,January,22,walk,Elizabeth Pepys
1,1141,1660,January,23,walk,
1141,15,1660,January,23,walk,
15,1,1660,January,23,walk,
1,674,1660,January,23,walk,
674,1,1660,January,23,walk,
1,15,1660,January,24,walk,
15,12,1660,January,24,walk,
12,5,1660,January,24,walk,Elizabeth Pepys
5,694,1660,January,24,walk,
694,1,1660,January,24,walk,
1,1141,1660,January,25,walk,
1141,15,1660,January,25,walk,
15,1,1660,January,25,walk,
1,24,1660,January,25,boat,
24,1,1660,January,25,walk,
1,15,1660,January,26,walk,
15,12,1660,January,26,walk,
12,1,1660,January,26,walk,
1,694,1660,January,26,walk,
694,1,1660,January,26,walk,
1,574,1660,January,27,walk,
574,13,1660,January,27,walk,
13,331,1660,January,27,walk,
331,1,1660,January,27,walk,
1,134,1660,January,28,walk,
134,15,1660,January,28,walk,
15,13,1660,January,28,walk,
13,66,1660,January,28,walk,
66,1,1660,January,28,walk,
1,685,1660,January,29,walk,
685,66,1660,January,29,walk,Henry Moore
66,1,1660,January,29,walk,
1,70,1660,January,29,walk,
70,17,1660,January,29,walk,
17,1,1660,January,29,walk,
1,15,1660,January,30,walk,
15,12,1660,January,30,walk,
12,1,1660,January,30,boat,
1,674,1660,January,30,walk,
674,492,1660,January,30,walk,
492,1,1660,January,30,walk,
1,6,1660,January,31,walk,
6,134,1660,January,31,walk,
134,15,1660,January,31,walk,
15,12,1660,January,31,walk,
12,1,1660,January,31,walk,
1,13,1660,January,31,walk,
13,12,1660,January,31,walk,
12,674,1660,January,31,walk,
674,134,1660,January,31,walk,
134,1,1660,January,31,walk,
1,15,1660,February,1,walk,
15,13,1660,February,1,walk,
13,561,1660,February,1,walk,
561,677,1660,February,1,walk,
677,674,1660,February,1,walk,
674,1,1660,February,1,walk,
1,66,1660,February,1,walk,
66,12,1660,February,1,walk,
12,1,1660,February,1,walk,
1,75,1660,February,2,walk,
75,76,1660,February,2,walk,
76,1,1660,February,2,walk,
1,3,1660,February,2,boat,
3,1,1660,February,2,boat,
1,134,1660,February,3,walk,
134,107,1660,February,3,walk,
107,3,1660,February,3,walk,
3,15,1660,February,3,walk,
15,13,1660,February,3,walk,Betty Turner; Joyce Norton
13,83,1660,February,3,walk,Roger Pepys
83,246,1660,February,3,walk,Betty Turner; Joyce Norton
246,1,1660,February,3,walk,Betty Turner; Joyce Norton
1,3,1660,February,3,walk,
3,107,1660,February,3,walk,Elizabeth Pepys
107,115,1660,February,3,walk,Elizabeth Pepys
115,673,1660,February,3,walk,
673,1,1660,February,3,walk,
1,15,1660,February,3,walk,
15,1,1660,February,3,walk,
1,15,1660,February,4,walk,
15,13,1660,February,4,walk,
13,12,1660,February,4,walk,
12,679,1660,February,4,walk,
679,717,1660,February,4,boat,
717,156,1660,February,4,walk,
156,561,1660,February,4,walk,
561,66,1660,February,4,walk,
66,677,1660,February,4,walk,
677,674,1660,February,4,walk,
674,1,1660,February,4,walk,
1,13,1660,February,5,boat,Elizabeth Pepys
13,1,1660,February,5,boat,
1,66,1660,February,6,walk,
66,13,1660,February,6,walk,
13,104,1660,February,6,walk,
104,13,1660,February,6,walk,
13,1,1660,February,6,walk,John Pepys Sr
1,678,1660,February,6,walk,John Pepys Sr
678,673,1660,February,6,walk,
673,12,1660,February,6,walk,
12,1,1660,February,6,walk,
1,15,1660,February,7,walk,
