source,target,year,month,day,mode,companion
home_axe_yard,exeter_house_chapel,1660,1,1,walk,
exeter_house_chapel,home_axe_yard,1660,1,1,walk,
home_axe_yard,father_house,1660,1,1,walk,Elizabeth Pepys
father_house,mrs_turner_house,1660,1,1,walk,Elizabeth Pepys
mrs_turner_house,home_axe_yard,1660,1,1,walk,Elizabeth Pepys
home_axe_yard,mr_sheplys_lodgings,1660,1,2,walk,
mr_sheplys_lodgings,the_temple,1660,1,2,walk,
the_temple,mr_crews_house,1660,1,2,walk,
mr_crews_house,office_exchequer,1660,1,2,walk,
office_exchequer,westminster_hall,1660,1,2,walk,
westminster_hall,home_axe_yard,1660,1,2,walk,
home_axe_yard,mr_crews_house,1660,1,2,walk,
mr_crews_house,new_market,1660,1,2,walk,Henry Moore
new_market,mr_crews_house,1660,1,2,walk,
mr_crews_house,mrs_jem_lodgings,1660,1,2,walk,Jemima Montagu
mrs_jem_lodgings,home_axe_yard,1660,1,2,walk,
home_axe_yard,wills,1660,1,2,walk,
wills,home_axe_yard,1660,1,2,walk,
home_axe_yard,mrs_turner_house,1660,1,3,walk,
mrs_turner_house,the_temple,1660,1,3,walk,
the_temple,office_exchequer,1660,1,3,walk,
office_exchequer,home_axe_yard,1660,1,3,walk,
home_axe_yard,mrs_jem_lodgings,1660,1,3,walk,
mrs_jem_lodgings,chancery_lane,1660,1,3,walk,Mr. Hawly
chancery_lane,whitehall,1660,1,3,walk,
whitehall,home_axe_yard,1660,1,3,walk,
home_axe_yard,office_exchequer,1660,1,4,walk,
office_exchequer,westminster_hall,1660,1,4,walk,
westminster_hall,wills,1660,1,4,walk,
wills,westminster_hall,1660,1,4,walk,
westminster_hall,swan_westminster,1660,1,4,walk,
swan_westminster,westminster_hall,1660,1,4,walk,
westminster_hall,home_axe_yard,1660,1,4,walk,
home_axe_yard,wills,1660,1,4,walk,
wills,mr_vines_house,1660,1,4,walk,
mr_vines_house,home_axe_yard,1660,1,4,walk,
home_axe_yard,mr_hunts_house,1660,1,4,walk,
mr_hunts_house,home_axe_yard,1660,1,4,walk,
home_axe_yard,office_exchequer,1660,1,5,walk,
office_exchequer,my_lords_lodgings,1660,1,5,walk,
my_lords_lodgings,office_exchequer,1660,1,5,walk,
office_exchequer,home_axe_yard,1660,1,5,walk,
home_axe_yard,mrs_jem_lodgings,1660,1,5,walk,Elizabeth Pepys
mrs_jem_lodgings,mr_fage_house,1660,1,5,walk,
mr_fage_house,father_house,1660,1,5,walk,
father_house,mrs_jem_lodgings,1660,1,5,walk,
mrs_jem_lodgings,home_axe_yard,1660,1,5,walk,Elizabeth Pepys; Mrs. Shepley
home_axe_yard,harpers,1660,1,6,walk,John Pepys Jr.
harpers,office_exchequer,1660,1,6,walk,
office_exchequer,home_axe_yard,1660,1,6,walk,
home_axe_yard,cousin_tom_pepys_house,1660,1,6,walk,Elizabeth Pepys
cousin_tom_pepys_house,mr_vines_house,1660,1,6,walk,
mr_vines_house,home_axe_yard,1660,1,6,walk,
home_axe_yard,cousin_stradwicks_house,1660,1,6,walk,
cousin_stradwicks_house,home_axe_yard,1660,1,6,walk,Elizabeth Pepys
home_axe_yard,office_exchequer,1660,1,7,walk,
office_exchequer,home_axe_yard,1660,1,7,walk,
home_axe_yard,mr_downings_lodgings,1660,1,7,walk,
mr_downings_lodgings,home_axe_yard,1660,1,7,walk,
home_axe_yard,dr_whores_house,1660,1,7,walk,
dr_whores_house,mrs_jem_lodgings,1660,1,7,walk,
mrs_jem_lodgings,my_lords_lodgings,1660,1,7,walk,Elizabeth Pepys
my_lords_lodgings,home_axe_yard,1660,1,7,walk,Elizabeth Pepys
home_axe_yard,exeter_house_chapel,1660,1,8,walk,
exeter_house_chapel,father_house,1660,1,8,walk,
father_house,mr_mossums_church,1660,1,8,walk,Elizabeth Pepys
mr_mossums_church,mrs_turner_house,1660,1,8,walk,
mrs_turner_house,father_house,1660,1,8,walk,
father_house,home_axe_yard,1660,1,8,walk,Robert Shepley
home_axe_yard,harpers,1660,1,9,walk,
harpers,coffee_house,1660,1,9,walk,
coffee_house,westminster_hall,1660,1,9,walk,
westminster_hall,mrs_jem_lodgings,1660,1,9,walk,
mrs_jem_lodgings,westminster_hall,1660,1,9,walk,
westminster_hall,home_axe_yard,1660,1,9,walk,
home_axe_yard,alehouse_greatorex,1660,1,10,walk,
alehouse_greatorex,mr_crews_house,1660,1,10,walk,
mr_crews_house,office_exchequer,1660,1,10,walk,
office_exchequer,westminster_hall,1660,1,10,walk,
westminster_hall,cooks_shop,1660,1,10,walk,Mr. Jenings; Captain Rider
cooks_shop,london_city,1660,1,10,walk,Mr. Jenings
london_city,star_cheapside,1660,1,10,walk,Mr. Jenings
star_cheapside,coffee_house,1660,1,10,walk,
coffee_house,mother_lams,1660,1,10,walk,Mr. Doling
mother_lams,home_axe_yard,1660,1,10,walk,
home_axe_yard,harpers,1660,1,10,walk,
harpers,home_axe_yard,1660,1,10,walk,
home_axe_yard,wills,1660,1,11,walk,
wills,w_joyces_house,1660,1,11,walk,John Pepys Sr.
