source,target,year,month,day,mode,companion
home_axe_yard,exeter_house_chapel,1660,1,1,walk,
exeter_house_chapel,home_axe_yard,1660,1,1,walk,
home_axe_yard,father_house_salisbury_court,1660,1,1,walk,Elizabeth Pepys
father_house_salisbury_court,mrs_turner_house,1660,1,1,walk,Elizabeth Pepys; Theophila Turner; Madam Morrice
mrs_turner_house,home_axe_yard,1660,1,1,walk,Elizabeth Pepys
home_axe_yard,my_lords_lodgings_whitehall,1660,1,2,walk,
my_lords_lodgings_whitehall,temple,1660,1,2,walk,
temple,mr_crews_house,1660,1,2,walk,
mr_crews_house,exchequer_office,1660,1,2,walk,
exchequer_office,westminster_hall,1660,1,2,walk,
westminster_hall,home_axe_yard,1660,1,2,walk,
home_axe_yard,mr_crews_house,1660,1,2,walk,
mr_crews_house,new_market_alehouse,1660,1,2,walk,Mr. Moore
new_market_alehouse,temple,1660,1,2,walk,Mr. Moore (as far as Fleet Street)
temple,mr_crews_house,1660,1,2,walk,
mr_crews_house,mrs_jems_lodgings,1660,1,2,walk,Jemima Montagu (Mrs. Jem)
mrs_jems_lodgings,home_axe_yard,1660,1,2,walk,
home_axe_yard,wills_alehouse,1660,1,2,walk,
wills_alehouse,home_axe_yard,1660,1,2,walk,
home_axe_yard,mrs_turner_house,1660,1,3,walk,
mrs_turner_house,temple,1660,1,3,walk,
temple,exchequer_office,1660,1,3,walk,
exchequer_office,home_axe_yard,1660,1,3,walk,
home_axe_yard,mrs_jems_lodgings,1660,1,3,walk,Jemima Montagu (Mrs. Jem)
mrs_jems_lodgings,mr_calthrops_chancery_lane,1660,1,3,walk,Mr. Hawly
mr_calthrops_chancery_lane,whitehall,1660,1,3,walk,Mr. Hawly
whitehall,home_axe_yard,1660,1,3,walk,
home_axe_yard,exchequer_office,1660,1,4,walk,Mr. Vanly's man
exchequer_office,westminster_hall,1660,1,4,walk,
westminster_hall,wills_alehouse,1660,1,4,walk,
wills_alehouse,westminster_hall,1660,1,4,walk,
westminster_hall,swan_kings_street,1660,1,4,walk,Clerk of my Lord's troop; Quarter Master of my Lord's troop
swan_kings_street,westminster_hall,1660,1,4,walk,
westminster_hall,home_axe_yard,1660,1,4,walk,
home_axe_yard,wills_alehouse,1660,1,4,walk,
wills_alehouse,westminster_hall,1660,1,4,walk,
westminster_hall,wills_alehouse,1660,1,4,walk,
wills_alehouse,mr_vines_house,1660,1,4,walk,
mr_vines_house,home_axe_yard,1660,1,4,walk,
home_axe_yard,mr_hunts_house,1660,1,4,walk,
mr_hunts_house,home_axe_yard,1660,1,4,walk,
home_axe_yard,exchequer_office,1660,1,5,walk,
exchequer_office,my_lords_lodgings_whitehall,1660,1,5,walk,
my_lords_lodgings_whitehall,exchequer_office,1660,1,5,walk,
exchequer_office,home_axe_yard,1660,1,5,walk,
home_axe_yard,mrs_jems_lodgings,1660,1,5,walk,Elizabeth Pepys
mrs_jems_lodgings,mr_fages,1660,1,5,walk,
mr_fages,father_house_salisbury_court,1660,1,5,walk,
father_house_salisbury_court,mrs_jems_lodgings,1660,1,5,walk,
mrs_jems_lodgings,home_axe_yard,1660,1,5,walk,Elizabeth Pepys; Mrs. Sheply
home_axe_yard,harpers_alehouse,1660,1,6,walk,John Pepys (brother)
harpers_alehouse,exchequer_office,1660,1,6,walk,
exchequer_office,home_axe_yard,1660,1,6,walk,
home_axe_yard,thomas_pepys_house,1660,1,6,walk,Elizabeth Pepys
thomas_pepys_house,mr_vines_house,1660,1,6,walk,
mr_vines_house,home_axe_yard,1660,1,6,walk,
home_axe_yard,cousin_stradwick_house,1660,1,6,walk,Jane (maid)
cousin_stradwick_house,home_axe_yard,1660,1,6,walk,Elizabeth Pepys
home_axe_yard,exchequer_office,1660,1,7,walk,
exchequer_office,home_axe_yard,1660,1,7,walk,Mrs. Jane Turner; Theophila Turner; Madam Morrice; Joyce Norton
home_axe_yard,mr_downings_lodgings,1660,1,7,walk,
mr_downings_lodgings,home_axe_yard,1660,1,7,walk,
home_axe_yard,dr_whores_house,1660,1,7,walk,Mrs. Jane Turner; Theophila Turner; Madam Morrice; Joyce Norton; Mr. Hawly
dr_whores_house,mrs_jems_lodgings,1660,1,7,walk,
mrs_jems_lodgings,my_lords_lodgings_whitehall,1660,1,7,walk,Elizabeth Pepys
my_lords_lodgings_whitehall,home_axe_yard,1660,1,7,walk,Elizabeth Pepys
home_axe_yard,exeter_house_chapel,1660,1,8,walk,
exeter_house_chapel,father_house_salisbury_court,1660,1,8,walk,
father_house_salisbury_court,mr_mossums_church,1660,1,8,walk,Elizabeth Pepys
mr_mossums_church,mrs_turner_house,1660,1,8,walk,
mrs_turner_house,father_house_salisbury_court,1660,1,8,walk,
father_house_salisbury_court,home_axe_yard,1660,1,8,walk,Elizabeth Pepys; Mr. Sheply
home_axe_yard,harpers_alehouse,1660,1,9,walk,W. Simons; Muddiman; Jack Price
harpers_alehouse,coffee_club_westminster,1660,1,9,walk,Muddiman
coffee_club_westminster,westminster_hall,1660,1,9,walk,
westminster_hall,mrs_jems_lodgings,1660,1,9,walk,
