id,name,location
admiralty,The Admiralty,"Whitehall, Westminster"
alehouse_brewers_yard,New Alehouse in Brewer's Yard,"Westminster"
alehouse_city,Alehouse (unspecified),"City of London"
alehouse_holborn,Alehouse (unspecified),"Holborn, London"
alehouse_ratcliffe,Alehouse at the End of Ratcliffe,"Ratcliffe, Middlesex"
alehouse_seething_lane,Alehouse near the Navy Office,"Seething Lane, City of London"
alehouse_walthamstow,Alehouse near the Church,"Walthamstow, Essex"
alehouse_westminster,Alehouse (unspecified),"Westminster"
almshouse_saffron_walden,Old Almshouse,"Saffron Walden, Essex"
angel_kings_street,The Angel Tavern,"King Street, Westminster"
assistance_ship,The Assistance (ship),"The Downs"
audley_end_house,Audley End House,"near Saffron Walden, Essex"
axe_tavern,The Axe,"King Street, Westminster"
backwells,Alderman Backwell's (goldsmith),"Lombard Street, City of London"
barber_tower_street,Barber's,"Tower Street, City of London"
bear_bridge_foot,The Bear at the Bridge Foot,"Southwark"
bear_tavern,Bear Tavern,"London"
bedells_bookseller,Bedell's Bookseller,"Temple Gate, Fleet Street, London"
beer_house_strand,Bottle Beer House,"Strand, London"
bell_tavern_kings_street,The Bell Tavern,"King Street, Westminster"
botolphs_church_cambridge,St Botolph's Church,"Cambridge"
bow,Bow,"Middlesex"
brazennose_tavern,Brazen Nose Tavern,"near the Savoy, Strand, London"
bridge_tavern,Bridge Tavern,"near London Bridge, City of London"
brighams,Brigham's (the King's coach-maker),"Westminster"
bull_head_tavern,Bull Head Tavern,"Westminster"
canterbury,Canterbury (cathedral and city),"Kent"
capt_matthews_lodging,Captain Dick Matthews's Lodging,"City of London"
capt_stones,Captain Stone's,"Westminster"
cardinals_cap,Cardinal's Cap Tavern,"City of London"
catans_lodging,Catan Sterpin's Lodging,"Westminster"
charing_cross,Charing Cross,"Westminster"
chequer_foulmer,The Chequer Inn,"Fowlmere, Cambridgeshire"
chequer_holborn,The Chequer Inn,"Holborn, London"
chequers_charing_cross,The Chequers,"Charing Cross, Westminster"
chetwinds_office_chancery_lane,Mr. Chetwind's Office,"Chancery Lane, London"
christs_college_cambridge,Christ's College,"Cambridge"
church_scheveningen,Church at Scheveningen,"Scheveningen, Holland"
clerks_hall,Clerks' Hall,"City of London"
clothworkers_hall,Clothworkers' Hall,"Mincing Lane, City of London"
cock_tavern_city,Cock Tavern,"City of London"
cockpit_whitehall,The Cockpit (Mr. Mount's chamber),"Whitehall, Westminster"
