id,name,location
1,Abingdon,"Abingdon, Berkshire"
2,African House,"Leadenhall Street, City of London"
3,Alderman Backwell's,"Lombard Street, City of London"
4,Aldersgate Street (cook's shop),"Aldersgate Street, City of London"
5,Aldgate,"Aldgate, City of London"
6,Anchor Tavern,"near Doctor's Commons, City of London"
7,Angel Tavern (King Street),"King Street, Westminster"
8,Anthony Joyce's House (post-fire),"Smithfield area, London"
9,Arundel House (Royal Society),"Strand, Westminster"
10,Attorney General's Chambers,Westminster / Inns of Court
11,Auditor Beale's House,"Salisbury Court, Fleet Street"
12,Audley End House,"near Saffron Walden, Essex"
13,Aunt Kite's House,City of London
14,Aunt Wight's House,London
15,Avebury,"Avebury, Wiltshire"
16,Bagshot,"Bagshot, Surrey"
17,Bagwell's House (Deptford),"Deptford, Kent"
18,Baldock,"Baldock, Hertfordshire"
19,Bankside Alehouse,"Bankside, Southwark"
20,Banqueting House,"Whitehall, Westminster"
21,Barking Church,"Barking, Essex"
22,Barking Church Steeple,"All Hallows Barking, Tower area"
23,Barkway,"Barkway, Hertfordshire"
24,Barn Elms,"Barnes, Surrey"
25,Barnet,"Barnet, Hertfordshire"
26,Barnet Wells,"Barnet Common, Hertfordshire"
27,Bartholomew Fair,"Smithfield, City of London"
28,Bath,"Bath, Somerset"
29,Baynard's Castle,"Thames waterfront, near Blackfriars"
30,Bear Garden (Bankside),"Bankside, Southwark"
31,Bear Inn (Cambridge),"Cambridge, Cambridgeshire"
32,Bear Tavern (Bridge Foot),"Southwark, near London Bridge"
33,Bedford,"Bedford, Bedfordshire"
34,Bell at the Maypole,"Strand, Westminster"
35,Bell Inn (Maidstone),"Maidstone, Kent"
36,Bell Tavern (King Street),"King Street, Westminster"
37,"Bennet's (mercer, Covent Garden post-fire)","Covent Garden, Westminster"
38,"Berkshire House (Lord Chancellor's, post-fire)","St. James's, Westminster"
39,Bethnal Green / Old Ford / Bow,"Bethnal Green / Bow, Middlesex"
40,Betty Michell's House,Shadwell / Westminster
41,Biggleswade,"Biggleswade, Bedfordshire"
42,Billingsgate,"Billingsgate, City of London"
43,Bishop's Stortford,"Bishop's Stortford, Hertfordshire"
44,Bishopsgate Street (shopping),"Bishopsgate Street, City of London"
45,Black Spread Eagle (Bride Lane),"Bride Lane, City of London"
46,Blackfriars Playhouse,"Blackfriars, City of London"
47,Blackwall,"Blackwall, Middlesex"
48,Blackwall Dock,"Blackwall, Middlesex"
49,Blackwall Yard,"Blackwall, Middlesex"
50,Bow,"Bow, Middlesex"
51,Brampton,"Brampton, Huntingdonshire"
52,Brampton Church,"Brampton, Huntingdonshire"
53,Brampton Woods,"near Brampton, Huntingdonshire"
54,Brazen Nose Tavern,Westminster
55,Brentford (Mr. Povy's country house),"Brentford, Middlesex"
56,Bridewell (Mr. Holland's),"Bridewell, City of London"
57,Bristol,Bristol
58,Brooke House,"Holborn, London"
59,Brother Tom's House,"Fleet Street area, City of London"
60,"Brown's (instrument maker, Minories)","The Minories, City of London"
61,Buckden,"Buckden, Huntingdonshire"
62,Buckingham,"Buckingham, Buckinghamshire"
63,Bull Head Tavern,Westminster
64,Buntingford,"Buntingford, Hertfordshire"
65,Cambridge,"Cambridge, Cambridgeshire"
66,Cambridge - Christ's College,"Cambridge, Cambridgeshire"
67,Cambridge - Cousin Angier's House,"Cambridge, Cambridgeshire"
68,Cambridge - Falcon Inn,"Petty Cury, Cambridge"
69,Cambridge - King's College Chapel,"Cambridge, Cambridgeshire"
70,Cambridge - Magdalene College,"Cambridge, Cambridgeshire"
71,Cambridge - Three Tuns,"Cambridge, Cambridgeshire"
72,Canterbury,"Canterbury, Kent"
73,Canterbury Cathedral,"Canterbury, Kent"
74,Captain Allen's House (near Chatham),"near Rochester/Chatham, Kent"
75,Captain Bodilaw's (Chatham),"Chatham, Kent"
76,Captain Cocke's House (Greenwich),"Greenwich, Kent"
77,Captain Cox's House (Deptford),"Deptford, Kent"
78,Captain Lambert's House,"Thames-side, near Greenwich"
79,Captain Marshe's House (Limehouse),"Limehouse, Middlesex"
80,Captain Minor's House,"Tower Hill, City of London"
81,Cardinal's Cap,London
82,Castle Tavern,City of London
83,Chancery Lane,"Holborn, London"
84,Chapman the Periwig-maker's,City of London
85,Charing Cross,"Charing Cross, Westminster"
86,Charing Cross Ordinary,"Charing Cross, Westminster"
87,Charlotte Yacht,"Greenwich, Kent"
88,Charterhouse Yard,"Charterhouse, City of London"
89,Chatham - Commissioner Pett's House,"Chatham, Kent"
90,Chatham Dockyard,"Chatham, Kent"
91,Chatham Hill House,"Chatham, Kent"
92,Chatteris,"Chatteris, Cambridgeshire"
93,Chelsea,"Chelsea, Middlesex"
94,Chequers (Charing Cross),"Charing Cross, Westminster"
95,Chesterton,"Chesterton, Cambridgeshire"
96,Christ's College (Cambridge),"Cambridge, Cambridgeshire"
97,Christ's Hospital,"Newgate Street, City of London"
98,Clarendon House,"Piccadilly, Westminster"
99,Clerkenwell Church,"Clerkenwell, Middlesex"
100,Clothworkers' Hall,"Mincing Lane, City of London"
101,Cobham,"Cobham, Kent"
102,Cock Alehouse (Temple Bar),"Temple Bar, Fleet Street"
103,Cocker's (writing master),London
104,Cockpit (Whitehall),"Whitehall Palace, Westminster"
105,Cockpit Theatre (Whitehall),"Whitehall Palace, Westminster"
106,Coffee House (Cornhill),"Cornhill, City of London"
107,Coffee House / Rota Club,Westminster
108,Colnbrook,"Colnbrook, Buckinghamshire"
109,Colonel Cleggat's House (Greenwich),"Greenwich, Kent"
110,Colonel Middleton's House,"near Seething Lane, London"
111,"Colvill's (banker, Lime Street)","Lime Street, City of London"
112,Commissioner Pett's House (Chatham),"Chatham Dockyard, Kent"
113,Commissioners of Treasury,"Whitehall, Westminster"
114,Comptroller's House (Lime Street),"Lime Street, City of London"
115,Convocation House Yard,"St. Paul's Churchyard, City of London"
116,Court Martial Yacht (Thames),"Thames near St. Katharine's, London"
117,Cousin Roger Pepys's Chambers,"Temple, City of London"
118,Cousin Roger Pepys's Lodgings,"Suffolk Street, London"
119,Cousin Stradwick's House,City of London
120,Cousin Thomas Pepys's House,London
121,Cousin Tom Pepys's Shop,"St. Paul's Churchyard, City of London"
122,Cousin Turner's House,"Strand / Temple area, London"
123,Covent Garden (wife's mother),"Covent Garden, Westminster"
124,Cow Lane (coachmaker),"near Smithfield, City of London"
125,Cranborne (Sir G. Carteret's),"Cranborne, Wiltshire/Dorset"
126,Cranbourne,"Cranbourne, Berkshire"
127,Crane Tavern (Stocks),"near Stocks Market, City of London"
128,Creed's House,"Newport Street, Covent Garden, London"
129,Crown Tavern (behind Exchange),"behind Royal Exchange, City of London"
130,Custom House,"Lower Thames Street, City of London"
131,Dagenham (Lord Crew's country house),"Dagenham, Essex"
132,Dancing Meeting (Broad Street),"Broad Street, City of London"
133,Dancing School (Fleet Street),"Fleet Street, City of London"
134,Dancre's Studio (painter),"Covent Garden area, London"
135,Dartford,"Dartford, Kent"
136,Deal,"Deal, Kent"
137,Delft,"Delft, Netherlands"
138,Delft - Nieuwe Kerk (Tromp's tomb),"Delft, Netherlands"
139,Delft - Oude Kerk,"Delft, Netherlands"
140,Delft - Stadhuis,"Delft, Netherlands"
141,Deptford - Bagwell's House,"Deptford, Kent"
142,Deptford - Captain Boddily's House,"Deptford, Kent"
143,Deptford - Globe Tavern,"Deptford, Kent"
144,Deptford Church,"Deptford, Kent"
145,Deptford Dockyard,"Deptford, Kent"
146,Devil Tavern,"Fleet Street / Temple Bar, City of London"
147,Doctors' Commons,"Knightrider Street, City of London"
148,Dog Tavern (Westminster),Westminster Hall area
149,Dolphin Tavern,"Tower Street, City of London"
150,Dover,"Dover, Kent"
151,Dover Castle,"Dover, Kent"
152,Dr. Williams's House,"Shoe Lane, City of London"
153,Drury Lane Theatre,"Drury Lane, Westminster"
154,Duck Lane (booksellers),"Little Britain area, City of London"
155,Duke of Albemarle's House,"Whitehall / Cockpit, Westminster"
156,Duke of York's Chamber (Whitehall),"Whitehall, Westminster"
157,Duke of York's Playhouse,"Lincoln's Inn Fields, London"
158,Duke's House (Theatre),"Lincoln's Inn Fields, Holborn"
159,Duke's Playhouse (Lincoln's Inn Fields),"Lincoln's Inn Fields, London"
160,Duke's Theatre,"Lincoln's Inn Fields, Holborn"
161,East India House,"Leadenhall Street, City of London"
162,Enfield,"Enfield, Middlesex"
163,Epping,"Epping, Essex"
164,Epsom,"Epsom, Surrey"
165,Erith,"Erith, Kent"
166,Essex House (Lord Keeper's),"Strand, London"
167,Evarelst's Studio (painter),"near St. James's Market, London"
168,Ewell (Yowell),"Ewell, Surrey"
169,Exchequer,"Palace of Westminster, Westminster"
170,Excise Office (Broad Street),"Broad Street, City of London"
171,Exeter House,"Strand, Westminster"
172,Exeter House Chapel,"Exeter House, Strand, Westminster"
173,Falcon (Bankside),"Bankside, Southwark"
174,Father's House,"Salisbury Court, Fleet Street, City of London"
175,Faythorne's (engraver),London
176,Faythorne's Print Shop,London
177,Feathers Tavern (Fish Street),"Fish Street, City of London"
178,Fenchurch Street (shops),"Fenchurch Street, City of London"
179,Fishmongers' Hall,"Thames Street, City of London"
180,Fleece Tavern (near Exchange),"near Royal Exchange, City of London"
181,Fleet Alley,"Fleet Lane area, City of London"
182,Fountain Tavern,"near Strand, London"
183,Fowlmere,"Fowlmere, Cambridgeshire"
184,Fox Hall (Vauxhall),"Vauxhall, Surrey"
185,Foxhall / Vauxhall (Spring Gardens),"Vauxhall, Surrey"
186,Frame-maker Morris's,"Long Acre, London"
187,French Church,"Threadneedle Street, City of London"
188,Fulham,"Fulham, Middlesex"
189,Gaming House (Lincoln's Inn Fields),"Lincoln's Inn Fields, London"
190,Garraway's Coffee-house,"Exchange Alley, Cornhill"
191,George Montagu's House,Westminster
192,Gillingham,"Gillingham, Kent"
193,Glass House (Whitefriars),"Whitefriars/Blackfriars, London"
194,Globe Tavern (Fleet Street),"Fleet Street, City of London"
195,Goat Tavern (Charing Cross),"Charing Cross, Westminster"
196,Godalming,"Godalming, Surrey"
197,Godmanchester,"Godmanchester, Huntingdonshire"
198,Golden Lion (Charing Cross),"near Charing Cross, Westminster"
199,Goring House (Lord Arlington's),"St. James's area, Westminster"
200,Gracechurch Street,"Gracechurch Street, City of London"
201,Graffham,"Graffham, near Brampton, Huntingdonshire"
202,Graveley,"Graveley, Huntingdonshire"
203,Gravesend,"Gravesend, Kent"
204,Gray's Inn (Mr. Moore's Chamber),"Gray's Inn, Holborn"
205,Gray's Inn Fields,"Gray's Inn, Holborn"
206,Gray's Inn Garden,"Gray's Inn, Holborn"
207,Gray's Inn Walks,"Gray's Inn, Holborn"
208,Great James Tavern,City of London
209,Green Dragon (Lambeth Hill),"Lambeth Hill, City of London"
210,Green Man Tavern,near London
211,Greene Man Tavern,near London
212,Greenwich,"Greenwich, Kent"
213,Greenwich - King's Head Tavern,"Greenwich, Kent"
214,Greenwich - Lodging at Mr. Glanvill's,"Greenwich, Kent"
215,Greenwich - Mr. Boreman's House,"Greenwich, Kent"
216,Greenwich - Music House,"Greenwich, Kent"
217,Greenwich Church,"Greenwich, Kent"
218,Greenwich Park,"Greenwich, Kent"
219,Gresham College,"Bishopsgate Street, City of London"
220,Greyhound Tavern (Fleet Street),"Fleet Street, City of London"
221,Guildford,"Guildford, Surrey"
222,Guildhall,City of London
223,Hackney,"Hackney, Middlesex"
224,Half Moon Tavern,near Westminster / New Exchange
225,Half-way House,"Deptford-London road, Surrey"
226,Halfway House (Deptford-Rotherhithe road),"Rotherhithe/Deptford road, Surrey"
227,Hampstead,"Hampstead, Middlesex"
228,Hampton Court,"Hampton Court, Surrey"
229,Hampton Court Palace,"Hampton Court, Surrey"
230,Harp and Ball,"near Charing Cross, Westminster"
231,Harper's Tavern,"near Westminster Hall, Westminster"
232,Hatfield,"Hatfield, Hertfordshire"
233,Heaven Alehouse,near Westminster Hall
234,Hercules Pillars Tavern,"Fleet Street, City of London"
235,Hicks Hall,"St. John Street, Clerkenwell"
236,Highgate,"Highgate, Middlesex"
237,Hill-House (Chatham),"Chatham, Kent"
238,Hinchingbrooke House,"near Huntingdon, Huntingdonshire"
239,HMS Assistance,"The Downs, off Deal, Kent"
240,HMS Bezan (yacht),Thames / Medway
241,HMS Charity,"Woolwich, Kent"
242,HMS Charles,"River Medway, off Upnor Castle, Chatham"
243,HMS Dutch Yacht,"Deptford, Kent"
244,HMS Essex,The Downs
245,HMS Grantham,The Downs
246,HMS Henry,"The Hope, Thames Estuary"
247,HMS Leopard,"Erith, Kent"
248,HMS London,"Chatham, Kent"
249,HMS Mathias,"Chatham, Kent"
250,HMS Montagu,Portsmouth Harbour
251,HMS Nazeby / Charles,"Flagship, various locations"
252,HMS Newcastle,"River Medway, Chatham"
253,HMS Northwich,The Downs
254,HMS Norwich,"Deptford, Kent"
255,HMS Plymouth,The Downs
256,HMS Prince,"Chatham Dockyard, Kent"
257,HMS Royal Charles,"The Hope, Thames Estuary"
258,HMS Royal James (Lord Sandwich's flagship),"Queenborough Water, Medway"
259,HMS Sovereign,"Buoy of the Nore, Thames Estuary"
260,HMS Speaker / Mary,The Downs
261,HMS Swiftsure,"Long Reach, Thames"
262,Holborn Conduit,"Holborn, London"
263,Holden's (hat maker),City of London
264,Home (Axe Yard),"South side of King Street, Westminster"
265,Hoop Tavern (Old Swan),"near Old Swan stairs, City of London"
266,Houblon Brothers' House,"Pope's Head area, City of London"
267,Hounslow,"Hounslow, Middlesex"
268,House of Lords,"Westminster Palace, Westminster"
269,Hungerford,"Hungerford, Berkshire"
270,Huntingdon,"Huntingdon, Huntingdonshire"
271,Huntingdon - Crown Inn,"Huntingdon, Huntingdonshire"
272,Huntingdon Church,"Huntingdon, Huntingdonshire"
273,Huntsmore (Mr. Bowyer's),"Huntsmore near Iver, Buckinghamshire"
274,Huysman's (painter),Westminster
275,Hyde Park,Westminster / Kensington
276,Hyde Park - The Lodge,"Hyde Park, London"
277,Impington,"Impington, Cambridgeshire"
278,India House,"Leadenhall Street, City of London"
279,Inner Court of Wards,Westminster
280,Instrument-maker's (Chancery Lane),"Chancery Lane, London"
281,Ironmongers' Hall,"Fenchurch Street, City of London"
282,Islington,"Islington, Middlesex"
283,Islington - King's Head,"Islington, Middlesex"
284,Jacob's Alehouse (St. James's Park),"near St. James's Park, Westminster"
285,Jamaica House,"Bermondsey, Surrey"
286,Jervas the Barber's,"Palace Yard, Westminster"
287,Jervas's (barber),Westminster
288,Jewel Office,"Whitehall, Westminster"
289,Jewish Synagogue,"Creechurch Lane, City of London"
290,Kate Joyce's House,London
291,Kensington (Holland House),"Kensington, Middlesex"
292,King's College Chapel (Cambridge),"Cambridge, Cambridgeshire"
293,King's Head Tavern (Fish Street Hill),"Fish Street Hill, City of London"
294,King's House (Theatre Royal),"Bridges Street, Covent Garden"
295,King's Playhouse (Theatre Royal),Bridges Street / Drury Lane
296,King's Privy Kitchen,"Whitehall, Westminster"
297,King's Wine Cellar (Whitehall),"Whitehall, Westminster"
298,Kingsland,"Kingsland, Middlesex"
299,Kingsland / Hoxton,"Kingsland / Hoxton, Middlesex"
300,Kingston,"Kingston-upon-Thames, Surrey"
301,Kirton's Bookshop,"St. Paul's Churchyard, City of London"
302,Kit's Coty House,"Aylesford, Kent"
303,Knightsbridge,"Knightsbridge, Middlesex"
304,Knipp's Lodgings,London
305,Lady Peterborough's House,London
306,Lady Pickering's Lodging (Blackfriars),"Blackfriars, City of London"
307,Lady Pooly's House (Bow),"Bow, Middlesex"
308,Lady Sandwich's,Lincoln's Inn Fields / Deptford
309,Lambeth,"Lambeth, Surrey"
310,Lambeth Marsh (old house),"Lambeth Marsh, Surrey"
311,Lambeth Palace,"Lambeth, Surrey"
312,Leadenhall Market,"Leadenhall Street, City of London"
313,Leatherhead,"Leatherhead, Surrey"
314,Leg Tavern (King Street),"King Street, Westminster"
315,Leicester House,"Leicester Fields, Westminster"
316,Lilly's (varnisher),London
317,Limehouse,"Limehouse, Middlesex"
318,Lincoln's Inn (Mr. Pedly's),"Lincoln's Inn, Holborn, London"
319,Lincoln's Inn Fields,"Holborn, London"
320,Lincoln's Inn Walks,"Lincoln's Inn Fields, London"
321,Liphook,"Liphook, Hampshire"
