id,name,location
1,Home (Axe Yard),Axe Yard
2,Thomas Pepys's House,Westminster (exact location unspecified)
3,Whitehall,Whitehall
4,Privy Seal Office,Whitehall
5,Mr. Pierce's House (surgeon),"St Margaret churchyard, Westminster"
6,Lord Sandwich's Lodgings,Whitehall
7,Whitehall Stairs,Whitehall
9,Navy Office,Seething Lane
10,Leg Tavern (King Street),King Street
12,Will's Coffeehouse,Old Palace Yard
13,Westminster Hall,Westminster
15,Exchequer,Westminster
16,Theatre (Vere Street),Vere Street
17,Father's House (John Pepys),Salisbury Court
19,Hercules Pillars,Fleet Street
20,Lady Sandwich's Lodgings,Whitehall
21,St. Paul's Churchyard,City of London
22,St. Margaret's Church,Westminster
23,The Exchange (Royal Exchange),Cornhill
24,Uncle Wight's House,Fenchurch Street
26,Mrs. Hunt's House,Whitehall
27,Sir William Pen's House,Axe Yard area
29,Coffeehouse (near St Paul's),St Paul's Churchyard area
30,Redriffe (Rotherhithe) Waterside,Redriffe
31,Deptford Yard,Deptford
35,Commissioner Pett's Lodgings (Deptford),Deptford
36,Greenwich Church,Greenwich
37,Woolwich Yard,Woolwich
38,Mr Pett's House (Woolwich),Woolwich
41,Blackwall,Blackwall
42,Dick Shore,Thames riverside near Tower
43,Tower of London,Tower Hill
44,Comptroller Slingsby's House,Westminster (exact location unspecified)
47,Rochester (inn),Rochester
48,The Sovereign (ship),River Medway
49,The Charles (ship),River Medway
50,The Newcastle (ship),River Medway
51,Chatham Shore,Chatham
52,Standing's Ale-house,Fleet Street area
53,Greyhound Tavern,Fleet Street area
54,Bookseller's (near St Paul's),St Paul's Churchyard area
56,Commission for Army and Navy,Westminster
57,Mercer's Chapel / Mercers' Hall,Cheapside
58,Dog Tavern,Westminster (near Whitehall)
59,Mr Bowyer's House,Westminster (exact location unspecified)
61,Gresham College,Bishopsgate Street
63,Sir William Batten's House,Seething Lane area
64,Mr Brigden's (Fleet Street),Fleet Street
66,Mr Crew's House,Lincoln's Inn Fields area
67,Bear Tavern,Fleet Street area
68,Mr Holden's (Dr Fairbrother's Lodging),Westminster/City (exact location unspecified)
69,Southwark (south bank),Southwark
70,Blackfriars Playhouse,Blackfriars
71,Mr Turner's House,Salisbury Court area
72,Moorfields,Moorfields
73,Old James Tavern,Bishopsgate Street
74,Ale-house (City,unspecified)
75,Mr Moore's Lodgings,Westminster (exact location unspecified)
76,Sir Peter Ball's House,Westminster (exact location unspecified)
77,Sir G. Carteret's House,Seething Lane area
78,Tavern near Carteret's,Seething Lane area
79,The Savoy (Chapel),The Strand
80,Dolphin Tavern,Seething Lane area
81,Fleece Tavern,Cornhill area
82,Mr Rawlinson's,"Fenchurch Street, City of London"
83,Rhenish Wine-House,Westminster (near Whitehall)
84,Ordinary (Westminster),Westminster (exact location unspecified)
85,Whitefriars Playhouse,Whitefriars
86,Salisbury Court Playhouse,Salisbury Court
87,Ale-house at Temple Bar,Temple Bar
88,Mr Reeve's House,City of London (exact location unspecified)
89,Mr Adam Chard's House,Westminster or City (exact location unspecified)
90,Rose-Bush (ship,Woolwich)
91,Mercer's Shop (Lombard Street),Lombard Street
92,Ale-house (Westminster,unspecified)
93,Bishopsgate Street Instrument Shop,Bishopsgate Street
94,The Steelyard,Thames Street
95,Whitehall Chapel,Whitehall
96,The Cockpit,Whitehall/Westminster area
97,W. Symons's House,Westminster (exact location unspecified)
98,Tavern (Westminster,unspecified)
99,Queenhithe,Queenhithe
100,Tavern at Queenhithe,Queenhithe
101,Captain Bodilaw's,Deptford
102,Halfway House,Between Deptford and Redriffe
103,Westminster Abbey,Westminster
104,Swan Tavern (Westminster),Westminster (near Westminster Hall)
105,Guildhall,King Street
106,Sir John Robinson's House (Tower),Tower of London
107,St James's Park,Westminster
108,Greatorex's,Westminster (exact location unspecified)
109,Penell's,Fleet Street
111,Charterhouse Yard,Charterhouse
112,Mitre Tavern,"Fenchurch Street, City of London"
113,Old Swan Stairs,Thames riverside
114,Goat Tavern (Charing Cross),Charing Cross
115,Charing Cross,Charing Cross
116,Mr Lucy's House,City of London (exact location unspecified)
117,St Paul's Cathedral,St Paul's
119,Hill House (Chatham),Chatham
121,Mr Pett's House (Chatham),Chatham
122,Commissioner Pett's House (Chatham),Chatham
123,The Prince (ship,Chatham)
124,Rochester Cathedral,Rochester
125,Salutation Tavern (Rochester),Rochester
126,Mr Hempson's House,Chatham area
127,Captain Allen's House,Chatham
128,Banqueting House,Whitehall
129,Wapping,Wapping
130,St Martin Ludgate,Ludgate Hill
131,Temple Church,Inner Temple
132,Walthamstow,Walthamstow
133,Church Stile (Walthamstow),Walthamstow
134,Mrs Harper's,King Street
135,Mr Ware's Lodgings (Mr Creed's),Westminster (exact location unspecified)
136,Mr Young's House (Cornhill),Cornhill
137,Mr Thornbury's House,King Street area
138,Chocolate House,Westminster (exact location unspecified)
139,King's Head Tavern (Tower Street),Tower Street
140,St Bride's Church,Fleet Street
142,Fish Street,Fish Street Hill
143,Leatherhead,Leatherhead
144,Godalming,Godalming
145,Petersfield,Petersfield
146,Red Lion Inn (Portsmouth),Portsmouth
147,Portsmouth Dock / Yard,Portsmouth
148,The Montagu (ship),Portsmouth
149,House where Duke of Buckingham was killed,Portsmouth
151,Guildford / Red Lion Inn,Guildford
152,Guildford Church,Guildford
153,Ordinary near Exchange,Cornhill area
155,The Wardrobe,Carter Lane
156,Gray's Inn,Holborn
157,Islington (eating house),Islington
158,Smithfield,Smithfield
159,London Bridge,London Bridge
160,York House,The Strand
161,Crown Tavern (Westminster),Westminster (exact location unspecified)
162,Victualling Office,East Smithfield
163,Temple Stairs,Thames riverside
164,Lord Mayor's House,City of London (exact location unspecified)
165,House of Lords,Westminster
166,Ale-house near the Wardrobe,Carter Lane area
167,Star Tavern (Cheapside),Cheapside
168,Mrs Browne's House (Walthamstow),Walthamstow
169,Mrs Shipman's House (Walthamstow),Walthamstow
170,The Temple (Inns of Court),Temple
171,Arundel House,The Strand
172,Arundel Stairs,Thames riverside
173,Milford Stairs,Thames riverside
174,Playford's Music Shop,Temple area
175,Walthamstow Church,Walthamstow
176,St Olave's Church,Hart Street
177,Woolwich Tavern,Woolwich
178,Globe Tavern (Greenwich),Greenwich
179,Captain Lambert's House,Greenwich area
180,Mr Holland's House (Bridewell),Bridewell
181,Three Mariners Tavern (Lambeth),Lambeth
182,Bear Tavern at Bridge Foot,Southwark
184,Cook's Eating House,Westminster (exact location unspecified)
185,Tobacco Shop at Temple Bar,Temple Bar
186,Worcester House,The Strand
187,Ale-house near Lord's Lodgings,Whitehall
188,Mr Falconer's House (Woolwich),Woolwich
189,The Charity (ship),River Thames
190,Bell Tavern at Maypole (Strand),The Strand
191,Samson Tavern (St Paul's Churchyard),St Paul's Churchyard
192,Mr Hodges's House,Lincoln's Inn Fields
193,Duke's Theatre (Lincoln's Inn Fields),Lincoln's Inn Fields
194,Mr Edward Montagu's House,Westminster (exact location unspecified)
195,Duck Lane (booksellers),Little Britain area
196,Mr Starling's,Fleet Street area
197,St Martin's Lane (boot shop),St Martin's Lane
198,Post House,Lombard Street area
199,Brampton (family home),Brampton
200,Portholme Meadow,near Huntingdon
201,Hinchinbrooke House,Huntingdon
202,Cambridge (general),Cambridge
203,Christ's College (Cambridge),Cambridge
205,Impington,Impington
206,Graveley,Graveley
207,Offord,Offord
208,Sturtlow,Sturtlow
209,Huntingdon (town),Huntingdon
210,Sir Robert Bernard's House,Huntingdon
211,Alehouse opposite the Crown (Huntingdon),Huntingdon
212,Goody Gorum's,Brampton area
213,Hatfield,Hatfield
216,Tavern near the Wardrobe,Carter Lane area
217,Sir Robert Ford's House,Seething Lane area
218,Tavern near Savoy,The Strand
223,Clerkenwell Church,Clerkenwell
225,Shoe Lane Alehouse,Shoe Lane
226,Devil Tavern,Fleet Street
227,Chelsea (Lord Privy Seal's House),Chelsea
228,Dr Williams's House,City of London (exact location unspecified)
229,Mrs Terry's House,City of London (exact location unspecified)
230,Will Joyce's House,"Swan Alley, Coleman Street, City of London"
231,Mrs Whately's House,City of London (exact location unspecified)
232,Uncle Fenner's House,"Salisbury Court, Fleet Street, City of London"
233,Tom Trice's House / Office,City of London (exact location unspecified)
234,Parish Church near Uncle Fenner's,City of London (exact location unspecified)
235,Alehouse near Tom Trice's,City of London (exact location unspecified)
236,Judge's Chambers,City of London (exact location unspecified)
237,Cook's Shop (City),City of London (exact location unspecified)
238,Crane Tavern at the Stocks,Stocks Market
239,Drury Lane Theatre,Drury Lane
240,Bartholomew Fair,Smithfield
241,Alehouse at Bartholomew Fair,Smithfield
242,Ludgate,Ludgate
243,Christ's Hospital,Newgate Street
244,Thomas Pepys's Shop (brother Tom),Salisbury Court area
245,Blackfriars Stairs,Blackfriars
246,Wilkinson's Cook's,Westminster (exact location unspecified)
247,Mrs Symonds's House,Westminster (exact location unspecified)
248,Beard's Coaching House,City of London (exact location unspecified)
249,Aunt Kite's House,City of London (exact location unspecified)
250,Mrs Utbeck's House,City of London (exact location unspecified)
251,Ship Tavern (near Theatre),Westminster / City (exact location unspecified)
252,King's Privy Kitchen (Whitehall),Whitehall
253,King's Wine Cellar (Whitehall),Whitehall
254,Parish Church near Aunt Kite's,City of London (exact location unspecified)
255,King's and Duke's Yachts (Thames),River Thames
256,Anchor Tavern (Doctor's Commons),Doctor's Commons
257,Old George's,Thames waterside (exact location unspecified)
259,Gravely Court House,Gravely
260,Baldock,Baldock
261,Stevenage,Stevenage
262,Welwyn,Welwyn
263,Holloway,Holloway
264,Bear Inn (Cambridge),Cambridge
265,Mr Sedgewick's House (Cambridge),Cambridge
266,Stourbridge (Fair),Stourbridge
267,Kingsland Road (town end),Middlesex
268,Ware,Ware
269,Red Lion (King Street Westminster),King Street
271,The Mews (Charing Cross),Charing Cross
272,French Ambassador's House,Westminster (exact location unspecified)
273,Barkway,Barkway
274,Cambridge Castle Hill (Assizes),Cambridge
275,Stanton,Stanton
276,Impington Church,Impington
277,Cook's Shop (Bishopsgate Street),Bishopsgate Street
278,Tavern near Bishopsgate Street,Bishopsgate Street area
279,Tower Hill,Tower Hill
280,Paternoster Row,Paternoster Row
281,St Gregory's Church,St Paul's Churchyard
282,Fleece Tavern (Covent Garden),Covent Garden
283,Mr Pim's Tailor's Shop,Westminster (exact location unspecified)
284,Fountain Tavern (Westminster),Westminster (exact location unspecified)
285,Sun Tavern (Exchequer area),Westminster (exact location unspecified)
286,Cook's Shop (Exchequer area),Westminster (exact location unspecified)
287,Mrs Goldsborough's House,City of London (exact location unspecified)
288,Captain Marshe's House (Limehouse),Limehouse
289,Colonel Swell's Lodgings,Whitehall
290,Hunt's Instrument Maker,St Paul's Churchyard
