id,name,location
abingdon,Abingdon,Berkshire
acton,Acton,Middlesex
admiralty,Admiralty,Whitehall
african_house,African House,City of London
alderman_backewells,Alderman Backewell's,"goldsmith/banker, Lombard Street"
alderman_hookers_house,Alderman Hooker's House,Greenwich
aldersgate,Aldersgate,City of London
aldgate,Aldgate,City of London
alehouse_bankside,Alehouse,"Bankside, Southwark"
alehouse_greatorex,An Alehouse,Westminster
alehouse_morning,An Alehouse,Westminster
alehouse_ratcliffe,Alehouse,Ratcliffe
alehouse_seething,Alehouse,near Navy Office
alehouse_unknown,An Alehouse,London
alehouse_walthamstow,Alehouse,"near church, Walthamstow"
anchor_doctors_commons,Anchor,"tavern, Doctors' Commons"
angel_tavern,Angel,"tavern, King Street"
anthony_joyces_house,Anthony Joyce's House,London
arundel_house,Arundel House,Strand
arundell_house,Arundell House,Strand (Royal Society)
ashtead,Ashtead,Surrey
attorney_generals,Attorney-General's,London
audley_end,Audley End House,Essex
aunt_kites_house,Aunt Kite's House,London
avebury,Avebury,Wiltshire
axe_tavern,Axe Tavern,Westminster
axe_yard,Axe Yard,Westminster
backwells,Backwell's,"goldsmith, Lombard Street"
bagwells_house,Bagwell's House,Deptford
baldock,Baldock,Hertfordshire
bankside,Bankside,Southwark
banqueting_house,Banqueting House,Whitehall
barking,Barking,Essex
barking_church,Barking Church,"Tower Street, City of London"
barkway,Barkway,Hertfordshire
barn_elms,Barn Elms,Barnes
barnett,Barnett,Middlesex
barnett_wells,Barnett Wells,Middlesex
bartholomew_fair,Bartholomew Fair,Smithfield
bath,Bath,Somerset
bear_bridge_foot,Bear,"tavern, Bridge foot"
bear_garden,Bear Garden,"Bankside, Southwark"
bear_greenwich,The Bear,Greenwich
bear_tavern,Bear Tavern,London
bear_tavern_greenwich,Bear Tavern,Greenwich
beards,Beard's,"inn, London"
bednall_green,Bednall Green,Stepney
bell_maypole_strand,Bell,"tavern, Maypole, Strand"
bell_tavern_westminster,Bell,"tavern, Westminster"
bennetts_paternoster_row,Bennett's,"Paternoster Row, City of London"
berkeley_house,Berkshire House,St. James's (Lord Chancellor's)
