n2_source,n2_target,my_source,my_target,year,month,day,mode,companion
home_axe_yard,exeter_house_chapel,264,69,1660,1,1,walk,
exeter_house_chapel,home_axe_yard,69,264,1660,1,1,walk,
home_axe_yard,mr_sheplys_lodgings,264,650,1660,1,2,walk,
mr_sheplys_lodgings,the_temple,650,102,1660,1,2,walk,
the_temple,mr_crews_house,102,374,1660,1,2,walk,
mr_crews_house,new_market,374,431,1660,1,2,walk,Henry Moore
new_market,mr_crews_house,431,374,1660,1,2,walk,
mrs_jem_lodgings,home_axe_yard,412,264,1660,1,2,walk,
home_axe_yard,wills,264,658,1660,1,2,walk,
wills,home_axe_yard,658,264,1660,1,2,walk,
mrs_turner_house,the_temple,419,102,1660,1,3,walk,
westminster_hall,wills,610,658,1660,1,4,walk,
wills,westminster_hall,658,610,1660,1,4,walk,
westminster_hall,swan_westminster,610,562,1660,1,4,walk,
home_axe_yard,wills,264,658,1660,1,4,walk,
wills,mr_vines_house,658,694,1660,1,4,walk,
mr_vines_house,home_axe_yard,694,264,1660,1,4,walk,
mrs_jem_lodgings,mr_fage_house,412,692,1660,1,5,walk,
mr_fage_house,father_house,692,174,1660,1,5,walk,
father_house,mrs_jem_lodgings,174,412,1660,1,5,walk,
home_axe_yard,harpers,264,231,1660,1,6,walk,John Pepys Jr.
mr_vines_house,home_axe_yard,694,264,1660,1,6,walk,
home_axe_yard,cousin_stradwicks_house,264,119,1660,1,6,walk,
mrs_jem_lodgings,my_lords_lodgings,412,650,1660,1,7,walk,Elizabeth Pepys
my_lords_lodgings,home_axe_yard,650,264,1660,1,7,walk,Elizabeth Pepys
home_axe_yard,exeter_house_chapel,264,69,1660,1,8,walk,
exeter_house_chapel,father_house,69,174,1660,1,8,walk,
harpers,coffee_house,231,106,1660,1,9,walk,
coffee_house,westminster_hall,106,610,1660,1,9,walk,
home_axe_yard,alehouse_greatorex,264,19,1660,1,10,walk,
alehouse_greatorex,mr_crews_house,19,374,1660,1,10,walk,
london_city,star_cheapside,324,553,1660,1,10,walk,Mr. Jenings
star_cheapside,coffee_house,553,106,1660,1,10,walk,
coffee_house,mother_lams,106,123,1660,1,10,walk,Mr. Doling
mother_lams,home_axe_yard,123,264,1660,1,10,walk,
home_axe_yard,harpers,264,231,1660,1,10,walk,
harpers,home_axe_yard,231,264,1660,1,10,walk,
home_axe_yard,wills,264,658,1660,1,11,walk,
wills,w_joyces_house,658,600,1660,1,11,walk,John Pepys Sr.
w_joyces_house,mr_crews_house,600,374,1660,1,11,walk,
w_joyces_house,alehouse_unknown,600,19,1660,1,11,walk,John Pepys Sr.
mrs_jem_lodgings,coffee_house,412,106,1660,1,11,walk,
coffee_house,home_axe_yard,106,264,1660,1,11,walk,
wills,home_axe_yard,658,264,1660,1,12,walk,
home_axe_yard,half_moon,264,224,1660,1,12,walk,
wills,home_axe_yard,658,264,1660,1,13,walk,
catan_house,home_axe_yard,734,264,1660,1,13,walk,Elizabeth Pepys
westminster_hall,mr_moores_house,610,204,1660,1,14,walk,Henry Moore
mr_moores_house,home_axe_yard,204,264,1660,1,14,walk,
home_axe_yard,coffee_house,264,106,1660,1,14,walk,Elizabeth Pepys
coffee_house,home_axe_yard,106,264,1660,1,14,walk,
mr_crews_house,alehouse_morning,374,19,1660,1,16,walk,
salisbury_court,the_clerks,488,521,1660,1,16,walk,
the_clerks,green_dragon,521,209,1660,1,16,walk,
mr_crews_house,home_axe_yard,374,264,1660,1,17,coach,Edward Montagu
home_axe_yard,westminster_hall,264,610,1660,1,17,walk,Edward Montagu
westminster_hall,wills,610,658,1660,1,17,walk,
wills,twickenham_mr_fullers,658,590,1660,1,17,coach,Elizabeth Pepys; Edward Montagu
twickenham_mr_fullers,brentford,590,55,1660,1,17,coach,Elizabeth Pepys
brentford,mr_crews_house,55,374,1660,1,17,coach,
mrs_jem_lodgings,coffee_house,412,106,1660,1,17,walk,
coffee_house,whitehall,106,642,1660,1,17,walk,
wills,home_axe_yard,658,264,1660,1,18,walk,
home_axe_yard,wilkinsons,264,656,1660,1,18,walk,
wilkinsons,my_lords_lodgings,656,650,1660,1,18,walk,
my_lords_lodgings,home_axe_yard,650,264,1660,1,18,walk,
mr_crews_house,home_axe_yard,374,264,1660,1,18,walk,
home_axe_yard,mr_downings_lodgings,264,693,1660,1,19,walk,
mrs_jem_lodgings,french_ordinary,412,86,1660,1,19,walk,Henry Moore
french_ordinary,whitehall,86,642,1660,1,19,walk,
whitehall,marshs,642,642,1660,1,19,walk,
coffee_house,westminster_hall,106,610,1660,1,20,walk,
westminster_hall,home_axe_yard,610,264,1660,1,20,walk,Robert Shepley
home_axe_yard,my_lords_lodgings,264,650,1660,1,21,walk,
mitre_fleet_street,mr_fage_house,358,692,1660,1,21,walk,
mr_fage_house,mitre_fleet_street,692,358,1660,1,21,walk,
mitre_fleet_street,mrs_jem_lodgings,358,412,1660,1,21,walk,
mrs_jem_lodgings,home_axe_yard,412,264,1660,1,21,walk,
home_axe_yard,whitehall,264,642,1660,1,21,walk,
whitehall,marshs,642,642,1660,1,21,walk,
father_house,mr_herrings_church,174,775,1660,1,22,walk,
mr_herrings_church,mrs_turner_house,775,419,1660,1,22,walk,
home_axe_yard,mrs_jem_lodgings,264,412,1660,1,23,walk,
whitehall,stone_gallery,642,617,1660,1,23,walk,
stone_gallery,cock_pit,617,104,1660,1,23,walk,
wills,mr_pierces_house,658,394,1660,1,24,walk,Elizabeth Pepys
mr_pierces_house,father_house,394,174,1660,1,24,walk,
father_house,cousin_tom_pepys_shop,174,121,1660,1,24,walk,John Pepys Sr.
cousin_tom_pepys_shop,father_house,121,174,1660,1,24,walk,John Pepys Sr.
father_house,home_axe_yard,174,264,1660,1,24,walk,Elizabeth Pepys
home_axe_yard,whitehall,264,642,1660,1,24,walk,
whitehall,marshs,642,642,1660,1,24,walk,
mr_crews_house,lady_wrights_house,374,305,1660,1,25,walk,
lady_wrights_house,my_lords_lodgings,305,650,1660,1,25,walk,
my_lords_lodgings,mr_downings_lodgings,650,693,1660,1,25,walk,
mr_downings_lodgings,my_lords_lodgings,693,650,1660,1,25,walk,
my_lords_lodgings,home_axe_yard,650,264,1660,1,25,walk,Elizabeth Pepys
mr_downings_lodgings,whitehall,693,642,1660,1,26,walk,
home_axe_yard,my_lords_lodgings,264,650,1660,1,26,walk,
my_lords_lodgings,mr_downings_lodgings,650,693,1660,1,26,walk,
mr_downings_lodgings,my_lords_lodgings,693,650,1660,1,26,walk,
my_lords_lodgings,home_axe_yard,650,264,1660,1,26,walk,Elizabeth Pepys
westminster_hall,mr_g_montagu_house,610,191,1660,1,27,walk,
mr_g_montagu_house,home_axe_yard,191,264,1660,1,27,walk,
mr_crews_house,lady_wrights_house,374,305,1660,1,28,walk,
lady_wrights_house,wills,305,658,1660,1,28,walk,
wills,whitehall,658,642,1660,1,28,walk,
mr_downings_lodgings,charing_cross_stairs,693,85,1660,1,28,walk,
charing_cross_stairs,westminster_hall,85,610,1660,1,28,walk,
westminster_hall,royal_exchange,610,789,1660,1,28,walk,
royal_exchange,heaven_tavern,789,233,1660,1,28,walk,
home_axe_yard,exeter_house_chapel,264,69,1660,1,29,walk,
exeter_house_chapel,mr_crews_house,69,374,1660,1,29,walk,Henry Moore
mr_crews_house,home_axe_yard,374,264,1660,1,29,walk,
home_axe_yard,father_house,264,174,1660,1,29,walk,
home_axe_yard,my_lords_lodgings,264,650,1660,1,31,walk,
my_lords_lodgings,harpers,650,231,1660,1,31,walk,
wills,home_axe_yard,658,264,1660,1,31,walk,
westminster_hall,star_chamber,610,204,1660,1,31,walk,
