network2_id,network2_name,network2_location
acton,Acton,Middlesex
admiralty,Admiralty,Whitehall
blockhouse_gravesend,Blockhouse,"near Gravesend, Kent"
bottle_beer_house_strand,Bottle Beer House,Strand
brentford_church,Church,"Brentford, Middlesex"
brentford_inn,Inn,"Brentford, Middlesex"
cake_house_southampton,Cake House,Southampton Market Place
cakehouse_hales,Cakehouse,near Hales's studio
capuchin_monastery,Capuchin Monastery,St. James's
catan_house,Catan's House,London
catan_sterpins_house,Catan Sterpin's House,London
crowes_upholsterer,Crowe's,"upholsterer, St. Bartholomew's"
devonshire_house,Devonshire House,Bishopsgate
dickshore,Dick Shore,Wapping/Limehouse
dr_hardys_church,Dr. Hardy's Church,London
english_channel,English Channel,at sea
engraver_tower,Engraver's Workshop,Tower of London
fullers_deal,Fuller's,"alehouse, Deal"
gatehouse,Gatehouse,Westminster
goldsmith_new_exchange,Goldsmith,near New Exchange
greenwich_vestry,Church Vestry,Greenwich Church
hargrave_house,Hargrave's,St. Martin's Lane
harmans_house,Harman's House,"upholsterer, Cornhill"
herberts_westminster,Herbert's,Westminster
herrings_house,Herring's,"merchant, Coleman Street, London"
horsleydown,Horsleydown,Southwark
isle_of_dogs,Isle of Dogs,Middlesex
lee_roads,Lee Roads,Thames Estuary
lodging_hague,Lodging,The Hague
london_city,London,City of London
mark_lane_tavern,A Tavern,Mark Lane
mings_funeral_church,Church,Sir Christopher Mings's funeral
mr_ashburnhams,Mr. Ashburnham's,"Old Palace Yard, Westminster"
mr_battersbys_house,Mr. Battersby's House,London
mr_butlers_house,Mr. Butler's House,London
mr_calthrops_house,Mr. Calthrop's House,London
mr_chaplins_house,Mr. Chaplin's House,London
mr_cumberland_house,Mr. Cumberland's House,London
mr_cuttles_house,Mr. Cuttle's House,Greenwich
mr_debastys,Mr. Debasty's,London
mr_frosts_house,Mr. Frost's House,London
mr_herrings_church,Mr. Herring's Church,London
mr_knightlys_house,Mr. Knightly's House,London
mr_laxtons_house,Mr. Laxton's,"apothecary, London"
mr_lucys_house,Mr. Lucy's House,"merchant, London"
mr_pennys_tailor,Mr. Penny's,"tailor, near St. Dunstan's Church, Fleet Street"
mr_phelps_house,Mr. Phelps's House,Westminster
mr_pims_house,Mr. Pim's House,"tailor, London"
mr_pims_shop,Mr. Pim's Shop,"tailor, London"
mr_pinkneys_house,Mr. Pinkney's House,London
mr_pinkneys_shop,Mr. Pinkney's Shop,"goldsmith, London"
mr_sherwins_house,Mr. Sherwin's House,London
mr_stephens_house,Mr. Stephens's House,"Treasurer's man, London"
mr_symons_house,Mr. Symons's House,London
mr_vernons_house,Mr. Vernon's House,London
mr_wm_montagus_chamber,Mr. Wm. Montagu's Chamber,London
mrs_ann_lodgings,Mrs. Ann's Lodgings,London
mrs_clarkes_house,Mrs. Clarke's House,Westminster
mrs_eastwoods_lodging,Mrs. Eastwood's Lodging,"new market, Lord Treasurer's, Westminster"
mrs_stokes_paternoster_row,Mrs. Stokes's,"goldsmith, Paternoster Row"
mrs_terrys_house,Mrs. Terry's House,London
mrs_whatelys_house,Mrs. Whately's House,London
old_jewry,Old Jewry,City of London
parish_church_fenner,Church,near Uncle Fenner's
philips_norton,Philips Norton,Somerset
plough_fleet_street,Plough,Fleet Street
pooles_deal,Poole's,"tavern, Deal"
prices_tavern,Price's,"tavern, Westminster"
priors,Prior's,"Rhenish wine-house, Westminster"
quakers,Quaker's,"eating house, London"
raindeer,Raindeer,"tavern, Westminster"
regent_house,Regent House,Cambridge
robin_shaws_house,Robin Shaw's House,London
samson_tavern,Samson,"tavern, Paul's Churchyard"
sheriff_maynells,Sheriff Maynell's,City of London
sheriffe_hookers,Sheriff Hooker's House,Greenwich
signet_office,Signet Office,Whitehall
sir_geffery_palmers,Sir Geffery Palmer's,London
sir_h_cholmleys_house,Sir H. Cholmley's House,Covent Garden area
swayns,Swayn's,Westminster
tavern_cornhill,Tavern,"Cornhill, City of London"
tavern_hackney_church,Tavern by the Church,Hackney
tavern_harwich,A Tavern,London
tavern_near_home,A Tavern,near Seething Lane
tavern_savoy,A Tavern,near Savoy
thames_street_tavern,A Tavern,Thames Street
the_grange,The Grange,near Lincoln's Inn
the_mews,The Mews,Charing Cross
the_spits,The Spits,Thames Estuary
tookers_lodging,Mr. Tooker's Lodging,Greenwich
torriano_house,Signor Torriano's House,London
welwyn,Welwyn,Hertfordshire
westminster_stairs,Westminster Stairs,Westminster
